depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3801,1073,0,451.9,95.9,0.384,-0.1216,0.1758,1,1,1,5e-05,0.8661,0.1811,-0.081651,0.013685,0.042565,-0.18114,-0.001019,-0.126579,0.023102
0.3163,1074,0,256.9,252.8,0.3203,0.0545,0.0492,1,1,1,6e-05,1.032,0.4178,0.123198,0.139948,0.417792,-0.015161,0.001143,-0.01613,0.230538
0.564,1075,0,558.6,333.8,0.5679,-0.4633,-0.2873,0,1,0,,,,,,,,,,
0.5928,1076,0,82.2,101.6,0.5967,0.3747,0.1501,0,0,0,,,,,,,,,,
0.2909,1077,0,220.4,157.8,0.2948,0.0692,0.1411,1,1,1,5e-05,0.8593,0.4913,0.107183,0.090318,0.491283,-0.187933,-0.004706,-0.15602,0.31228
0.617,1078,0,18.3,88.2,0.621,0.491,0.169,0,0,0,,,,,,,,,,
0.0798,1079,0,581.8,46.8,0.0838,-0.0029,0.2002,1,1,1,5e-05,0.3665,0.9258,0.879824,-0.47647,0.395315,-0.68072,0.142327,-0.925759,0.752356
0.2286,1080,0,455.5,63.4,0.2326,-0.0607,0.2019,1,1,1,6e-05,0.4994,0.5637,0.535074,-0.064041,0.301111,-0.547807,0.004995,-0.563723,0.282349
0.1431,1081,0,639.3,317.9,0.1471,-0.0835,0.1383,1,1,1,5e-05,0.3775,1.2616,1.261583,-0.202834,0.294095,-0.6697,0.055529,-0.744416,0.375573
0.0855,1082,0,237.9,146.6,0.0895,0.0025,0.1978,1,1,1,9e-05,0.372,0.8753,0.851166,-0.451197,0.424452,-0.675246,0.133724,-0.875297,0.746724
0.5403,1083,0,313.1,68.9,0.5442,0.0094,0.1988,1,1,1,0.0001,0.9786,1.3457,-1.345729,0.043139,0.003471,1.115811,-0.039015,0.295991,-0.008628
0.1835,1084,0,567.8,223.4,0.1875,-0.0926,0.1452,1,1,1,5e-05,0.4263,1.0038,1.003821,-0.109486,0.280114,-0.620901,0.017279,-0.646609,0.285703
0.6046,1085,0,333.5,151.8,0.6086,-0.0229,0.0657,0,1,0,,,,,,,,,,
0.206,1086,0,597.5,194.7,0.2099,-0.1214,0.1477,1,1,1,4e-05,0.4538,0.8937,0.893727,-0.046151,0.218851,-0.593374,-0.016681,-0.600546,0.170852
0.3174,1087,0,159.2,70.2,0.3214,0.1147,0.1985,1,1,1,8e-05,0.9614,0.5162,-0.217279,0.186477,0.516179,-0.085815,-0.066895,-0.046451,0.213926
0.4781,1088,0,462.7,12.2,0.482,-0.1604,0.2592,1,1,1,5e-05,1.1898,0.704,-0.703997,-0.088227,-0.159097,0.14257,0.033049,0.195861,-0.064717
0.6497,1089,0,202.4,130.1,0.6537,0.2118,0.0944,0,0,0,,,,,,,,,,
0.2847,1090,0,118.8,270.8,0.2886,0.1543,0.0532,1,1,1,8e-05,1.1765,0.6121,-0.00898,0.246845,0.612094,0.129327,-0.061698,0.077176,0.233198
0.1695,1091,0,555.6,288.5,0.1735,-0.0827,0.1269,1,1,1,6e-05,0.4185,1.102,1.101973,-0.136995,0.30763,-0.628662,0.042399,-0.624298,0.340104
0.6445,1092,0,6.5,355.9,0.6485,0.7306,-0.4332,0,0,0,,,,,,,,,,
