depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.25,3,4,288.0,126.0,0.168,0.0088,0.1849,1,1,1,9e-05,0.4722,0.6559,0.655878,-0.201265,0.480793,-0.574967,0.064212,-0.605993,0.55169
0.25,3,5,352.0,126.0,0.168,-0.0088,0.1849,1,1,1,4e-05,0.4484,0.7311,0.731053,-0.209662,0.43733,-0.598778,0.063861,-0.650065,0.523015
0.25,3,6,416.0,126.0,0.1658,-0.0258,0.1853,1,1,1,6e-05,0.426,0.8101,0.810142,-0.217392,0.396142,-0.621163,0.061702,-0.698529,0.493057
0.25,3,7,480.0,126.0,0.162,-0.041,0.186,1,1,1,9e-05,0.4072,0.8887,0.888747,-0.224068,0.359074,-0.63999,0.058346,-0.749028,0.46371
0.25,3,8,544.0,126.0,0.1571,-0.054,0.1868,1,1,1,5e-05,0.3931,0.9632,0.963216,-0.229555,0.326933,-0.654067,0.054508,-0.799397,0.436469
0.25,3,9,608.0,126.0,0.1519,-0.0648,0.1877,1,1,1,6e-05,0.3839,1.0304,1.030357,-0.233446,0.29992,-0.66326,0.050481,-0.847227,0.412037
0.25,4,0,32.0,162.0,0.16,0.0748,0.177,1,1,1,4e-05,0.5843,0.6484,0.422577,-0.144928,0.648411,-0.462878,0.0498,-0.441764,0.621611
0.25,4,1,96.0,162.0,0.167,0.0633,0.1749,1,1,1,4e-05,0.5731,0.6148,0.460068,-0.147742,0.614808,-0.474065,0.054915,-0.455557,0.604684
0.25,4,2,160.0,162.0,0.1738,0.0487,0.173,1,1,1,5e-05,0.5572,0.5838,0.507645,-0.151742,0.575309,-0.490017,0.059574,-0.475562,0.583824
0.25,4,3,224.0,162.0,0.1794,0.031,0.1714,1,1,1,5e-05,0.5356,0.5671,0.567145,-0.157173,0.530507,-0.51163,0.062912,-0.50364,0.558416
0.25,4,4,288.0,162.0,0.1826,0.0107,0.1705,1,1,1,7e-05,0.5085,0.6391,0.639091,-0.164028,0.482422,-0.53868,0.063939,-0.541002,0.528454
0.25,4,5,352.0,162.0,0.1826,-0.0107,0.1705,1,1,1,9e-05,0.4781,0.7215,0.721489,-0.171879,0.434323,-0.569068,0.062053,-0.587264,0.495059
0.25,4,6,416.0,162.0,0.1794,-0.031,0.1714,1,1,1,4e-05,0.448,0.81,0.809994,-0.180194,0.389499,-0.599233,0.057624,-0.64042,0.460549
0.25,4,7,480.0,162.0,0.1738,-0.0487,0.173,1,1,1,6e-05,0.4218,0.8979,0.897949,-0.187766,0.350357,-0.625358,0.051545,-0.696576,0.427368
0.25,4,8,544.0,162.0,0.167,-0.0633,0.1749,1,1,1,9e-05,0.4018,0.9804,0.980415,-0.194246,0.317502,-0.645382,0.045058,-0.752627,0.397426
0.25,4,9,608.0,162.0,0.16,-0.0748,0.177,1,1,1,5e-05,0.3882,1.0547,1.054653,-0.199622,0.290433,-0.658954,0.039054,-0.806498,0.371568
0.25,5,0,32.0,198.0,0.1686,0.0861,0.1633,1,1,1,3e-05,0.6332,0.6651,0.397458,-0.111615,0.665121,-0.413967,0.047587,-0.380654,0.606491
0.25,5,1,96.0,198.0,0.1777,0.0739,0.1595,1,1,1,3e-05,0.6251,0.6286,0.433837,-0.111542,0.628638,-0.422099,0.053738,-0.388907,0.587327
0.25,5,2,160.0,198.0,0.1869,0.0577,0.1557,1,1,1,3e-05,0.6108,0.5849,0.481124,-0.112832,0.584875,-0.436382,0.059557,-0.403825,0.563714
0.25,5,3,224.0,198.0,0.1946,0.0371,0.1525,1,1,1,4e-05,0.5883,0.5419,0.541883,-0.116102,0.5346,-0.458869,0.063814,-0.428202,0.534884
0.25,5,4,288.0,198.0,0.1991,0.0129,0.1506,1,1,1,5e-05,0.5569,0.6174,0.617422,-0.121668,0.480656,-0.490275,0.064907,-0.464251,0.500727
0.25,5,5,352.0,198.0,0.1991,-0.0129,0.1506,1,1,1,6e-05,0.5188,0.7061,0.70607,-0.129197,0.427602,-0.528398,0.061686,-0.512096,0.46255
0.25,5,6,416.0,198.0,0.1946,-0.0371,0.1525,1,1,1,8e-05,0.4791,0.8025,0.802491,-0.137782,0.379808,-0.568127,0.054452,-0.569073,0.423246
0.25,5,7,480.0,198.0,0.1869,-0.0577,0.1557,1,1,1,4e-05,0.4433,0.8998,0.899804,-0.146619,0.339494,-0.603938,0.044991,-0.631131,0.386243
0.25,5,8,544.0,198.0,0.1777,-0.0739,0.1595,1,1,1,7e-05,0.4151,0.9909,0.990902,-0.1546,0.306865,-0.632098,0.035193,-0.693572,0.353761
