depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,7,0,0.2343,0.1632,0.0919,9e-05,0.2459,0.1154,0.061,0.0581,0.22385,1,0.0,1,676,left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_elbow_link|torso_link
0.3,7,1,0.2522,0.1417,0.0794,9e-05,0.2612,0.1069,0.0428,0.0513,0.20636,1,0.00014,1,604,left_wrist_pitch_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_elbow_link|torso_link
0.3,7,2,0.2703,0.1118,0.0668,8e-05,0.2688,0.0889,0.0354,0.0389,0.17188,1,0.0,1,472,right_elbow_link|torso_link
0.3,7,3,0.2857,0.0725,0.056,8e-05,0.2806,0.0563,0.0321,0.0294,0.12444,1,9e-05,1,404,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,7,4,0.2948,0.0252,0.0496,7e-05,0.294,0.019,0.0428,0.0092,0.07188,1,6e-05,1,288,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link;right_wrist_roll_link|torso_link
0.3,7,5,0.2948,-0.0252,0.0496,7e-05,0.2938,-0.0265,0.0472,0.0029,0.01639,1,0.0,1,206,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link;right_wrist_roll_link|torso_link
0.3,7,6,0.2857,-0.0725,0.056,7e-05,0.2857,-0.0725,0.056,0.0,0.0,0,0.0,0,0,
0.3,7,7,0.2703,-0.1118,0.0668,9e-05,0.2703,-0.1118,0.0668,0.0001,0.0,0,0.0,0,0,
0.3,7,8,0.2522,-0.1417,0.0794,4e-05,0.2523,-0.1417,0.0794,0.0001,0.0,0,0.0,0,0,
0.3,7,9,0.2343,-0.1632,0.0919,5e-05,0.2344,-0.1632,0.0919,0.0001,0.0,0,0.0,0,0,
0.3,8,0,0.2363,0.1729,0.0651,4e-05,0.2403,0.1594,0.1155,0.0524,0.24286,1,0.00484,1,482,left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,8,1,0.2549,0.1504,0.0492,4e-05,0.2682,0.1166,0.0191,0.0472,0.20994,1,0.00036,1,584,left_hand_base_link|right_hand_Link2_2;left_hand_base_link|right_hand_Link2_3;left_wrist_yaw_link|right_hand_Link2_2;right_elbow_link|torso_link
0.3,8,2,0.2735,0.1189,0.0331,3e-05,0.2641,0.0799,-0.0169,0.0641,0.20245,1,0.00021,1,384,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,8,3,0.2893,0.0771,0.0195,9e-05,0.2853,0.0534,-0.0062,0.0352,0.14024,1,0.0,1,316,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,8,4,0.2986,0.0269,0.0114,8e-05,0.2937,0.0143,-0.003,0.0198,0.08194,1,3e-05,1,190,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link;right_wrist_roll_link|torso_link
0.3,8,5,0.2986,-0.0269,0.0114,7e-05,0.2961,-0.0316,0.006,0.0076,0.04016,1,0.0,1,60,right_shoulder_yaw_link|torso_link
0.3,8,6,0.2893,-0.0771,0.0195,7e-05,0.2893,-0.0771,0.0195,0.0001,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.3,8,7,0.2735,-0.1189,0.0331,8e-05,0.2735,-0.1189,0.0331,0.0,0.0,0,0.0,0,0,
0.3,8,8,0.2549,-0.1504,0.0492,0.0001,0.255,-0.1504,0.0491,0.0001,0.0,0,0.0,0,0,
0.3,8,9,0.2363,-0.1729,0.0651,4e-05,0.2364,-0.1729,0.0651,0.0001,0.0,0,0.0,0,0,
0.3,9,0,0.2362,0.1811,0.0374,5e-05,0.2601,0.1409,0.0068,0.0559,0.23963,1,0.00103,1,634,left_hand_base_link|right_hand_Link1_2;left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_base_link;left_wrist_yaw_link|right_hand_Link1_2;left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,9,1,0.2547,0.1575,0.0182,5e-05,0.2611,0.1081,-0.0285,0.0682,0.24757,1,1e-05,1,456,right_elbow_link|torso_link
0.3,9,2,0.273,0.1243,-0.0009,5e-05,0.2779,0.0877,-0.0259,0.0445,0.2047,1,0.0,1,364,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,9,3,0.2885,0.0805,-0.017,4e-05,0.2918,0.0496,-0.0219,0.0315,0.15509,1,0.0,1,260,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,9,4,0.2975,0.028,-0.0264,9e-05,0.2964,0.0099,-0.02,0.0192,0.10326,1,6e-05,1,122,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.3,9,5,0.2975,-0.028,-0.0264,8e-05,0.295,-0.0327,-0.021,0.0076,0.05923,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.3,9,6,0.2885,-0.0805,-0.017,7e-05,0.2886,-0.0805,-0.017,0.0001,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.3,9,7,0.273,-0.1243,-0.0009,8e-05,0.2731,-0.1243,-0.0009,0.0001,0.0,0,0.0,0,0,
0.3,9,8,0.2547,-0.1575,0.0182,9e-05,0.2548,-0.1575,0.0182,0.0001,0.0,0,0.0,0,0,
0.3,9,9,0.2362,-0.1811,0.0374,4e-05,0.2363,-0.1811,0.0374,0.0001,0.0,0,0.0,0,0,
0.35,0,0,0.2389,0.1287,0.2211,4e-05,0.2396,0.1273,0.2087,0.0125,0.09323,1,0.0,1,198,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,0,1,0.2485,0.1062,0.2224,5e-05,0.2475,0.1081,0.2213,0.0024,0.06944,1,0.0,1,160,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,0,2,0.2572,0.0798,0.2235,5e-05,0.2567,0.0799,0.2152,0.0083,0.06346,1,0.0,1,142,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,0,3,0.264,0.0497,0.2244,5e-05,0.2634,0.0499,0.2192,0.0052,0.03359,1,0.0,1,132,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,0,4,0.2676,0.0169,0.2249,6e-05,0.2677,0.0169,0.2248,0.0002,0.00097,1,3e-05,1,114,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,0,5,0.2676,-0.0169,0.2249,7e-05,0.2677,-0.0169,0.2249,0.0001,0.0,1,0.0,1,40,right_elbow_link|torso_link
0.35,0,6,0.264,-0.0497,0.2244,9e-05,0.264,-0.0496,0.2244,0.0001,0.0,0,0.0,0,0,
0.35,0,7,0.2572,-0.0798,0.2235,4e-05,0.2573,-0.0798,0.2235,0.0001,0.0,0,0.0,0,0,
0.35,0,8,0.2485,-0.1062,0.2224,5e-05,0.2486,-0.1062,0.2224,0.0001,0.0,0,0.0,0,0,
0.35,0,9,0.2389,-0.1287,0.2211,7e-05,0.2389,-0.1287,0.2211,0.0,0.0,0,0.0,0,0,
0.35,1,0,0.2461,0.1392,0.2064,5e-05,0.2486,0.1341,0.1864,0.0208,0.11402,1,2e-05,1,256,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,1,1,0.2575,0.1157,0.2068,5e-05,0.2583,0.1144,0.1983,0.0087,0.09186,1,0.0,1,204,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,1,2,0.2681,0.0876,0.2072,5e-05,0.268,0.0865,0.198,0.0093,0.07671,1,0.0,1,172,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,1,3,0.2764,0.0549,0.2076,5e-05,0.2759,0.0544,0.2006,0.007,0.04652,1,0.0,1,168,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,1,4,0.2811,0.0187,0.2077,6e-05,0.2809,0.0187,0.2061,0.0016,0.00995,1,1e-05,1,146,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,1,5,0.2811,-0.0187,0.2077,7e-05,0.2811,-0.0187,0.2077,0.0001,0.0,1,0.0,1,64,right_elbow_link|torso_link
0.35,1,6,0.2764,-0.0549,0.2076,8e-05,0.2765,-0.0549,0.2076,0.0001,0.0,0,0.0,0,0,
0.35,1,7,0.2681,-0.0876,0.2072,3e-05,0.2681,-0.0876,0.2072,0.0001,0.0,0,0.0,0,0,
0.35,1,8,0.2575,-0.1157,0.2068,4e-05,0.2576,-0.1157,0.2068,0.0001,0.0,0,0.0,0,0,
0.35,1,9,0.2461,-0.1392,0.2064,6e-05,0.2461,-0.1392,0.2064,0.0,0.0,0,0.0,0,0,
0.35,2,0,0.2532,0.1504,0.1892,5e-05,0.2577,0.1396,0.1594,0.032,0.1401,1,0.0,1,310,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,2,1,0.2667,0.1261,0.1883,5e-05,0.2693,0.1198,0.1706,0.0189,0.11659,1,0.0,1,258,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,2,2,0.2794,0.0962,0.1875,5e-05,0.2805,0.0942,0.181,0.0069,0.08748,1,0.0,1,200,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,2,3,0.2896,0.0607,0.1869,5e-05,0.2891,0.0583,0.1764,0.0108,0.06222,1,0.0,1,198,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,2,4,0.2954,0.0208,0.1865,5e-05,0.2951,0.0204,0.1835,0.003,0.01853,1,1e-05,1,194,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,2,5,0.2954,-0.0208,0.1865,6e-05,0.2955,-0.0208,0.1865,0.0001,0.0,1,0.0,1,102,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,2,6,0.2896,-0.0607,0.1869,7e-05,0.2897,-0.0606,0.1869,0.0001,0.0,0,0.0,0,0,
0.35,2,7,0.2794,-0.0962,0.1875,9e-05,0.2795,-0.0962,0.1875,0.0001,0.0,0,0.0,0,0,
0.35,2,8,0.2667,-0.1261,0.1883,4e-05,0.2668,-0.1261,0.1883,0.0001,0.0,0,0.0,0,0,
0.35,2,9,0.2532,-0.1504,0.1892,5e-05,0.2533,-0.1504,0.1892,0.0001,0.0,0,0.0,0,0,
0.35,3,0,0.26,0.1621,0.1692,5e-05,0.2664,0.143,0.1274,0.0464,0.17169,1,0.0,1,356,left_hand_base_link|right_hand_Link1_2;right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,3,1,0.2757,0.137,0.1665,5e-05,0.28,0.123,0.137,0.0329,0.14741,1,1e-05,1,298,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,3,2,0.2907,0.1054,0.1639,5e-05,0.2923,0.0949,0.1408,0.0254,0.12194,1,0.0,1,236,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,3,3,0.303,0.0669,0.1618,5e-05,0.3023,0.0609,0.1457,0.0172,0.07846,1,2e-05,1,248,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.35,3,4,0.3101,0.023,0.1606,5e-05,0.3094,0.0213,0.1548,0.0061,0.03321,1,0.0,1,236,right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
