depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.2,4,0,0.204,0.1159,0.1643,7e-05,0.2382,0.0757,0.1405,0.0579,0.15714,1,3e-05,1,272,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,4,1,0.204,0.0902,0.1643,8e-05,0.2355,0.052,0.1489,0.0519,0.15808,1,0.0,1,250,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,4,2,0.204,0.0644,0.1643,9e-05,0.2259,0.0357,0.154,0.0376,0.12283,1,0.0,1,234,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,4,3,0.204,0.0386,0.1643,3e-05,0.2164,0.0204,0.1577,0.023,0.08028,1,0.0,1,130,right_wrist_roll_link|torso_link
0.2,4,4,0.204,0.0129,0.1643,4e-05,0.2092,0.0036,0.1602,0.0114,0.04284,1,0.0,1,78,right_wrist_roll_link|torso_link
0.2,4,5,0.204,-0.0129,0.1643,6e-05,0.205,-0.0151,0.1632,0.0026,0.01184,1,0.0,1,30,right_wrist_roll_link|torso_link
0.2,4,6,0.204,-0.0386,0.1643,8e-05,0.204,-0.0386,0.1643,0.0,0.0,1,0.0,0,0,right_wrist_roll_link|torso_link
0.2,4,7,0.204,-0.0644,0.1643,9e-05,0.204,-0.0644,0.1643,0.0001,0.0,0,0.0,0,0,
0.2,4,8,0.204,-0.0902,0.1643,4e-05,0.204,-0.0902,0.1643,0.0,0.0,0,0.0,0,0,
0.2,4,9,0.204,-0.1159,0.1643,5e-05,0.204,-0.1159,0.1643,0.0,0.0,0,0.0,0,0,
0.2,5,0,0.204,0.1206,0.1486,7e-05,0.2496,0.0678,0.1263,0.0732,0.20375,1,6e-05,1,286,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,5,1,0.204,0.0938,0.1486,8e-05,0.2409,0.0484,0.1329,0.0606,0.18231,1,0.0,1,282,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,5,2,0.204,0.067,0.1486,9e-05,0.2276,0.0349,0.137,0.0415,0.13255,1,0.0,1,234,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,5,3,0.204,0.0402,0.1486,3e-05,0.2155,0.0212,0.1397,0.024,0.08154,1,0.0,1,147,right_wrist_roll_link|torso_link
0.2,5,4,0.204,0.0134,0.1486,4e-05,0.2107,0.001,0.1438,0.0149,0.05334,1,0.0,1,108,right_wrist_roll_link|torso_link
0.2,5,5,0.204,-0.0134,0.1486,5e-05,0.2043,-0.0152,0.1468,0.0026,0.00963,1,0.0,1,52,right_wrist_roll_link|torso_link
0.2,5,6,0.204,-0.0402,0.1486,7e-05,0.204,-0.0402,0.1486,0.0001,0.0,1,0.0,1,2,right_wrist_roll_link|torso_link
0.2,5,7,0.204,-0.067,0.1486,9e-05,0.204,-0.067,0.1486,0.0001,0.0,0,0.0,0,0,
0.2,5,8,0.204,-0.0938,0.1486,4e-05,0.204,-0.0938,0.1486,0.0,0.0,0,0.0,0,0,
0.2,5,9,0.204,-0.1206,0.1486,4e-05,0.204,-0.1206,0.1486,0.0,0.0,0,0.0,0,0,
0.2,6,0,0.204,0.1256,0.1317,7e-05,0.2427,0.0738,0.0999,0.0721,0.18247,1,0.0,1,326,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,6,1,0.204,0.0977,0.1317,8e-05,0.2451,0.0456,0.1146,0.0685,0.20235,1,0.0,1,292,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,6,2,0.204,0.0698,0.1317,9e-05,0.2291,0.0336,0.118,0.0461,0.14321,1,0.0,1,227,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,6,3,0.204,0.0419,0.1317,3e-05,0.2177,0.0184,0.1216,0.029,0.09566,1,0.0,1,175,right_wrist_roll_link|torso_link
0.2,6,4,0.204,0.014,0.1317,4e-05,0.2121,-0.0017,0.1263,0.0185,0.06496,1,2e-05,1,119,right_wrist_roll_link|torso_link
0.2,6,5,0.204,-0.014,0.1317,5e-05,0.2044,-0.0164,0.1297,0.0031,0.01112,1,0.0,1,69,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.2,6,6,0.204,-0.0419,0.1317,6e-05,0.204,-0.0418,0.1317,0.0001,0.0,1,0.0,1,7,right_wrist_roll_link|torso_link
0.2,6,7,0.204,-0.0698,0.1317,8e-05,0.204,-0.0698,0.1317,0.0001,0.0,0,0.0,0,0,
0.2,6,8,0.204,-0.0977,0.1317,0.0001,0.2041,-0.0977,0.1317,0.0001,0.0,0,0.0,0,0,
0.2,6,9,0.204,-0.1256,0.1317,4e-05,0.204,-0.1256,0.1317,0.0,0.0,0,0.0,0,0,
0.2,7,0,0.204,0.1311,0.1132,7e-05,0.2489,0.0713,0.0819,0.0811,0.2075,1,0.0,1,403,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,7,1,0.204,0.102,0.1132,8e-05,0.2491,0.0434,0.0948,0.0762,0.22024,1,5e-05,1,309,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,7,2,0.204,0.0728,0.1132,9e-05,0.2261,0.0364,0.0956,0.0461,0.13666,1,4e-05,1,355,right_wrist_roll_link|torso_link
0.2,7,3,0.204,0.0437,0.1132,3e-05,0.2201,0.015,0.1021,0.0347,0.11105,1,0.0,1,355,right_wrist_roll_link|torso_link
0.2,7,4,0.204,0.0146,0.1132,4e-05,0.2056,0.005,0.1048,0.0128,0.04015,1,0.0,1,286,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.2,7,5,0.204,-0.0146,0.1132,5e-05,0.2047,-0.0181,0.1109,0.0042,0.01407,1,0.0,1,141,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.2,7,6,0.204,-0.0437,0.1132,6e-05,0.204,-0.0437,0.1132,0.0,0.0,1,0.0,1,35,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.2,7,7,0.204,-0.0728,0.1132,7e-05,0.204,-0.0728,0.1132,0.0,0.0,0,0.0,1,3,
0.2,7,8,0.204,-0.102,0.1132,8e-05,0.204,-0.102,0.1132,0.0001,0.0,0,0.0,0,0,
0.2,7,9,0.204,-0.1311,0.1132,9e-05,0.2041,-0.1311,0.1132,0.0001,0.0,0,0.0,0,0,
0.2,8,0,0.204,0.1371,0.0931,8e-05,0.24,0.0878,0.0637,0.0677,0.15274,1,1e-05,1,535,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,8,1,0.204,0.1066,0.0931,8e-05,0.2458,0.0454,0.0679,0.0782,0.21575,1,0.0,1,411,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.2,8,2,0.204,0.0762,0.0931,9e-05,0.2286,0.0333,0.0733,0.0533,0.15304,1,0.0,1,483,right_wrist_roll_link|torso_link
0.2,8,3,0.204,0.0457,0.0931,0.0001,0.2227,0.0112,0.0808,0.0412,0.126,1,0.0,1,464,right_wrist_roll_link|torso_link
0.2,8,4,0.204,0.0152,0.0931,3e-05,0.206,0.0036,0.0844,0.0146,0.04446,1,0.0,1,644,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.2,8,5,0.204,-0.0152,0.0931,4e-05,0.2048,-0.02,0.0902,0.0057,0.01807,1,0.0,1,585,right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link;right_wrist_yaw_link|torso_link
0.2,8,6,0.204,-0.0457,0.0931,5e-05,0.204,-0.0457,0.0931,0.0,0.0,1,0.0,1,386,right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
