depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.25,5,0,0.254,0.1692,0.1279,7e-05,0.2484,0.1521,0.1204,0.0195,0.18815,1,0.00034,1,418,left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.25,5,1,0.254,0.1316,0.1279,6e-05,0.255,0.1158,0.0966,0.035,0.17008,1,1e-05,1,408,right_elbow_link|torso_link
0.25,5,2,0.254,0.094,0.1279,6e-05,0.2526,0.0872,0.1107,0.0185,0.13093,1,0.0,1,346,right_elbow_link|torso_link
0.25,5,3,0.254,0.0564,0.1279,7e-05,0.2665,0.0314,0.1156,0.0305,0.08304,1,2e-05,1,266,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,5,4,0.254,0.0188,0.1279,8e-05,0.2614,0.002,0.1219,0.0193,0.05814,1,0.0,1,194,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,5,5,0.254,-0.0188,0.1279,9e-05,0.2552,-0.0228,0.1261,0.0046,0.01407,1,5e-05,1,115,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,5,6,0.254,-0.0564,0.1279,3e-05,0.254,-0.0564,0.1279,0.0,0.0,1,0.0,1,14,right_wrist_roll_link|torso_link
0.25,5,7,0.254,-0.094,0.1279,4e-05,0.254,-0.094,0.1279,0.0,0.0,0,0.0,0,0,
0.25,5,8,0.254,-0.1316,0.1279,4e-05,0.254,-0.1316,0.1279,0.0,0.0,0,0.0,0,0,
0.25,5,9,0.254,-0.1692,0.1279,4e-05,0.254,-0.1692,0.1279,0.0,0.0,0,0.0,0,0,
0.25,6,0,0.254,0.1763,0.1041,8e-05,0.2703,0.1421,0.1022,0.0379,0.20618,1,0.0,1,470,left_hand_base_link|right_hand_Link1_2;left_hand_base_link|right_hand_Link1_3;left_wrist_pitch_link|right_hand_Link2_2;left_wrist_pitch_link|right_hand_Link2_3;left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_elbow_link|torso_link;right_shoulder_yaw_link|torso_link
0.25,6,1,0.254,0.1371,0.1041,7e-05,0.2558,0.1161,0.0825,0.0302,0.18381,1,0.00015,1,464,left_wrist_yaw_link|right_hand_Link2_2;left_wrist_yaw_link|right_hand_Link2_3;right_elbow_link|torso_link
0.25,6,2,0.254,0.0979,0.1041,7e-05,0.2662,0.0636,0.0745,0.0469,0.11088,1,5e-05,1,412,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,6,3,0.254,0.0588,0.1041,7e-05,0.2637,0.0347,0.0894,0.0299,0.07135,1,3e-05,1,345,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,6,4,0.254,0.0196,0.1041,8e-05,0.2629,-0.0025,0.0965,0.025,0.07298,1,0.0,1,167,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,6,5,0.254,-0.0196,0.1041,9e-05,0.2555,-0.0256,0.1016,0.0067,0.02049,1,1e-05,1,122,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.25,6,6,0.254,-0.0588,0.1041,3e-05,0.254,-0.0588,0.1041,0.0,0.0,1,0.0,1,22,right_wrist_roll_link|torso_link
0.25,6,7,0.254,-0.0979,0.1041,3e-05,0.254,-0.0979,0.1041,0.0,0.0,0,0.0,0,0,
