depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3613,266,0,26.7,38.9,0.3652,0.2399,0.2224,0,0,0,,,,,,,,,,
0.4949,267,0,161.6,102.8,0.4988,0.2026,0.158,0,0,0,,,,,,,,,,
0.2724,268,0,547.0,310.3,0.2763,-0.1721,0.0266,1,1,1,7e-05,0.7542,0.5583,0.558275,0.035604,0.071865,-0.292978,-0.013899,-0.190174,0.007105
0.1406,269,0,454.2,306.8,0.1445,-0.0333,0.1441,1,1,1,8e-05,0.4114,1.0677,1.067727,-0.265519,0.382823,-0.635792,0.105853,-0.672935,0.541465
0.2093,270,0,128.4,233.3,0.2133,0.0898,0.1269,1,1,1,8e-05,0.7514,0.6217,0.350571,-0.016491,0.62167,-0.295804,0.039458,-0.251957,0.50483
0.1968,271,0,280.5,17.0,0.2008,0.0134,0.2163,1,1,1,5e-05,0.5158,0.5442,0.414444,-0.109233,0.474254,-0.531431,0.021133,-0.544159,0.455785
0.1252,272,0,139.2,118.6,0.1292,0.0276,0.1927,1,1,1,5e-05,0.4412,0.6687,0.654153,-0.289445,0.535336,-0.606005,0.083439,-0.661459,0.66872
0.2534,273,0,301.6,247.6,0.2573,0.0117,0.0925,1,1,1,8e-05,0.7367,0.4686,0.468573,0.006991,0.429737,-0.310483,0.051315,-0.250656,0.370515
0.2336,274,0,593.4,309.5,0.2376,-0.1662,0.0614,1,1,1,4e-05,0.5961,0.7868,0.786782,0.03502,0.131904,-0.451082,-0.027283,-0.332105,0.03047
0.194,275,0,24.9,276.5,0.198,0.1289,0.114,1,1,1,8e-05,0.8299,0.7117,0.282136,0.019102,0.711705,-0.217338,0.019113,-0.17847,0.51581
0.6493,276,0,212.6,208.6,0.6533,0.2105,-0.0599,0,0,0,,,,,,,,,,
0.4265,277,0,191.8,168.7,0.4304,0.1469,0.0911,1,1,1,8e-05,1.2484,0.815,-0.815036,0.339811,0.33018,0.675089,-0.128623,0.340297,-0.016844
0.4072,278,0,437.4,76.4,0.4112,-0.1156,0.1922,1,1,1,9e-05,0.942,0.2391,-0.239132,0.010822,0.019387,-0.105214,0.000512,-0.048705,0.005138
0.119,279,0,348.2,237.1,0.123,-0.0043,0.1758,1,1,1,5e-05,0.4032,0.9113,0.911307,-0.348416,0.433393,-0.643971,0.117178,-0.745915,0.652535
0.5428,280,0,80.8,351.2,0.5467,0.4547,-0.3082,0,0,0,,,,,,,,,,
0.6264,281,0,529.6,336.3,0.6303,-0.4607,-0.3565,0,0,0,,,,,,,,,,
0.435,282,0,251.8,271.5,0.4389,0.09,-0.0536,1,1,0,0.01665,0.6705,1.4239,-0.979512,0.298215,0.143381,1.423942,-0.101529,0.071158,-0.00187
0.2417,283,0,358.3,244.6,0.2456,-0.0226,0.1017,1,1,1,9e-05,0.65,0.5925,0.592521,-0.023683,0.381326,-0.397162,0.052376,-0.331309,0.354127
0.1389,284,0,551.8,146.5,0.1429,-0.0465,0.1851,1,1,1,6e-05,0.3857,1.0126,1.012557,-0.277773,0.334542,-0.661473,0.075417,-0.833589,0.489002
0.189,285,0,7.0,230.1,0.1929,0.1238,0.1395,1,1,1,7e-05,0.779,0.7138,0.260168,-0.001882,0.713829,-0.268224,0.014624,-0.229853,0.53135
0.2397,286,0,611.9,70.2,0.2437,-0.1412,0.199,1,1,1,6e-05,0.4877,0.5755,0.575543,-0.010369,0.127079,-0.559463,-0.032697,-0.570964,0.07669
0.6032,287,0,629.8,187.1,0.6072,-0.5451,0.0022,0,1,0,,,,,,,,,,
0.1796,288,0,500.1,42.8,0.1836,-0.0537,0.2071,1,1,1,6e-05,0.4176,0.748,0.748039,-0.158549,0.327636,-0.629604,0.023562,-0.730289,0.374538
0.2504,289,0,247.8,317.1,0.2544,0.049,0.0403,1,1,1,8e-05,0.8776,0.4816,0.421927,0.057221,0.481633,-0.169561,0.055206,-0.115643,0.373174
0.2449,290,0,296.4,173.1,0.2488,0.0131,0.145,1,1,1,8e-05,0.6603,0.4445,0.424384,-0.024588,0.444544,-0.386862,0.036727,-0.347696,0.390937
0.1855,291,0,503.4,19.7,0.1895,-0.0566,0.2141,1,1,1,5e-05,0.4215,0.7206,0.69982,-0.141624,0.318605,-0.62565,0.015472,-0.720599,0.351886
0.3571,292,0,528.1,221.9,0.3611,-0.2029,0.0584,1,1,1,7e-05,0.9565,0.1196,0.119585,-0.029854,-0.070401,-0.090661,-0.00618,-0.064081,-0.043866
0.3241,293,0,236.5,46.9,0.328,0.0599,0.2143,1,1,1,3e-05,0.8609,0.4206,-0.145357,0.122804,0.420594,-0.186255,-0.036536,-0.132194,0.213433
0.3959,294,0,631.7,214.2,0.3999,-0.343,0.0481,1,1,1,5e-05,1.3089,0.3599,-0.228019,-0.262446,-0.359893,0.261741,0.04504,0.167519,-0.067195
0.6495,295,0,633.7,318.7,0.6535,-0.7021,-0.3298,0,0,0,,,,,,,,,,
0.2332,296,0,610.3,240.3,0.2371,-0.1617,0.1094,1,1,1,5e-05,0.5375,0.7776,0.777566,0.017819,0.134423,-0.509686,-0.036398,-0.443194,0.041489
0.5365,297,0,402.0,125.4,0.5404,-0.118,0.1221,1,1,1,9e-05,1.2402,1.0114,-1.011418,-0.095783,-0.119039,0.840468,0.0052,0.374243,-0.032479
0.5545,298,0,87.9,166.5,0.5584,0.3623,0.0549,0,0,0,,,,,,,,,,
0.109,299,0,290.9,216.4,0.1129,0.0033,0.1841,1,1,1,5e-05,0.3972,0.8635,0.863489,-0.375844,0.449273,-0.649954,0.119597,-0.768924,0.689407
0.4442,300,0,182.5,343.6,0.4481,0.2042,-0.1862,0,0,0,,,,,,,,,,
0.5149,301,0,233.6,186.1,0.5189,0.1264,0.037,0,1,0,,,,,,,,,,
0.2238,302,0,504.0,298.1,0.2277,-0.1033,0.078,1,1,1,4e-05,0.5619,0.8361,0.83608,-0.009482,0.256657,-0.485274,0.021457,-0.38162,0.20708
0.3663,303,0,152.5,229.9,0.3703,0.1703,0.0447,1,1,1,8e-05,1.198,0.5323,-0.502853,0.390242,0.455461,0.532329,-0.134431,0.285298,0.017093
0.2412,304,0,361.5,77.3,0.2451,-0.0204,0.1957,1,1,1,3e-05,0.5684,0.4788,0.40493,-0.045671,0.376504,-0.478829,0.014309,-0.466366,0.336863
0.5045,305,0,481.3,129.0,0.5085,-0.2167,0.1226,1,1,1,6e-05,1.2953,0.7187,-0.71871,-0.181158,-0.22608,0.499595,0.037751,0.319175,-0.048262
0.1748,306,0,29.9,342.3,0.1788,0.1154,0.097,1,1,1,9e-05,0.7925,0.7002,0.408347,-0.034326,0.700174,-0.254714,0.054477,-0.198161,0.572119
0.2021,307,0,306.1,331.5,0.206,0.007,0.0756,1,1,1,3e-05,0.6457,0.7235,0.72347,-0.067266,0.457681,-0.401488,0.095716,-0.303277,0.471359
0.5927,308,0,145.5,354.8,0.5966,0.369,-0.3726,0,0,0,,,,,,,,,,
0.4128,309,0,340.6,22.0,0.4168,-0.0196,0.2413,1,1,1,4e-05,0.9985,0.4435,-0.443545,0.095205,0.155444,-0.048671,-0.025771,0.024104,0.034395
0.6093,310,0,161.0,77.0,0.6132,0.2523,0.1865,0,0,0,,,,,,,,,,
0.0876,311,0,396.4,159.9,0.0916,-0.0029,0.1968,1,1,1,5e-05,0.372,0.8917,0.888402,-0.452007,0.404989,-0.675233,0.136389,-0.891662,0.73109
0.2316,312,0,237.8,311.0,0.2356,0.0494,0.0621,1,1,1,8e-05,0.8015,0.5078,0.485932,0.013437,0.507807,-0.245694,0.067752,-0.178708,0.431327
0.2013,313,0,206.6,218.5,0.2052,0.0491,0.1385,1,1,1,3e-05,0.6428,0.5503,0.493668,-0.080457,0.550328,-0.404391,0.061176,-0.361463,0.519907
