idx,depth,u,v,tx,ty,tz,state,final_ok
1979,0.3015,518.5,16.8,0.3055,-0.1257,0.2306,reachable,1
1980,0.4461,452.4,256.4,0.45,-0.177,-0.0377,reachable,1
1981,0.4575,48.1,132.4,0.4615,0.3265,0.127,outside workspace box,0
1982,0.3843,625.5,181.5,0.3883,-0.3123,0.0905,reachable,1
1983,0.4469,551.5,62.3,0.4508,-0.2519,0.2058,reachable,1
1984,0.4126,152.5,152.8,0.4166,0.1812,0.1134,model / self-contact,0
1985,0.2215,146.3,221.4,0.2254,0.0876,0.127,hits pocket,0
1986,0.5909,160.4,264.7,0.5949,0.2998,-0.1488,outside workspace box,0
1987,0.3206,315.3,56.1,0.3246,0.0034,0.208,hits pocket,0
1988,0.1627,507.8,61.7,0.1667,-0.0477,0.2015,model / self-contact,0
1989,0.4573,562.2,265.7,0.4612,-0.3373,-0.06,model / self-contact,0
1990,0.1586,605.7,269.3,0.1626,-0.0866,0.1424,model / self-contact,0
1991,0.1333,630.8,344.8,0.1372,-0.0719,0.1396,model / self-contact,0
1992,0.2191,418.9,84.9,0.223,-0.0424,0.1932,reachable,1
1993,0.3839,467.2,5.2,0.3879,-0.126,0.2508,reachable,1
1994,0.2176,618.2,233.7,0.2216,-0.1485,0.1221,reachable,1
1995,0.2106,638.8,105.1,0.2145,-0.1313,0.1856,reachable,1
1996,0.1814,212.8,154.1,0.1854,0.0364,0.1724,hits pocket,0
1997,0.1075,33.3,255.7,0.1115,0.0326,0.1799,model / self-contact,0
1998,0.5738,329.2,63.0,0.5778,-0.0135,0.2069,model / self-contact,0
1999,0.4628,326.0,201.3,0.4668,-0.0079,0.035,hits pocket,0
