idx,depth,u,v,tx,ty,tz,state,final_ok
251,0.2956,238.2,76.1,0.2995,0.0534,0.195,hits pocket,0
252,0.5651,281.0,358.3,0.569,0.0784,-0.3511,outside workspace box,0
253,0.4627,397.4,69.8,0.4667,-0.0884,0.198,reachable,1
254,0.2777,485.8,27.1,0.2817,-0.0948,0.2221,reachable,1
255,0.4418,209.2,205.4,0.4458,0.138,0.0385,model / self-contact,0
256,0.6453,116.1,169.1,0.6493,0.3798,0.0223,outside workspace box,0
257,0.2506,10.1,133.6,0.2545,0.1704,0.166,hits pocket,0
258,0.313,259.6,312.9,0.3169,0.0555,-0.0122,hits pocket,0
259,0.3048,565.2,207.2,0.3087,-0.1914,0.0975,reachable,1
260,0.4365,161.5,296.5,0.4405,0.2168,-0.095,outside workspace box,0
261,0.1253,135.8,46.8,0.1292,0.0262,0.2028,model / self-contact,0
262,0.5422,581.8,145.2,0.5461,-0.3893,0.0916,IK fails,0
263,0.51,361.0,68.9,0.514,-0.0526,0.199,reachable,1
264,0.226,306.8,197.7,0.23,0.0067,0.138,hits pocket,0
265,0.5357,292.2,16.5,0.5397,0.0359,0.2628,model / self-contact,0
266,0.3474,580.8,271.0,0.3513,-0.2602,0.0089,reachable,1
267,0.4496,540.0,1.4,0.4535,-0.2276,0.2651,reachable,1
268,0.5639,491.1,117.6,0.5679,-0.2588,0.1292,model / self-contact,0
269,0.2306,0.1,227.6,0.2346,0.1727,0.1187,hits pocket,0
270,0.1759,402.3,90.5,0.1798,-0.0248,0.1936,reachable,1
271,0.1624,400.7,178.9,0.1663,-0.0231,0.1701,model / self-contact,0
272,0.3797,567.2,317.7,0.3837,-0.2926,-0.0789,model / self-contact,0
273,0.5309,451.9,162.5,0.5348,-0.1949,0.0682,reachable,1
274,0.1959,533.7,275.1,0.1998,-0.0946,0.1134,reachable,1
275,0.2968,15.7,237.0,0.3007,0.2372,0.0757,outside workspace box,0
276,0.3703,572.3,309.5,0.3742,-0.2864,-0.0587,model / self-contact,0
277,0.4756,241.6,256.7,0.4796,0.1133,-0.0572,IK fails,0
278,0.3964,436.7,303.3,0.4004,-0.143,-0.0722,model / self-contact,0
279,0.5834,330.3,186.1,0.5873,-0.0174,0.0115,IK fails,0
280,0.3529,234.7,303.1,0.3569,0.0903,-0.0351,hits pocket,0
281,0.2247,54.6,161.6,0.2287,0.1281,0.1574,hits pocket,0
282,0.1577,337.8,307.2,0.1616,-0.0056,0.1291,hits pocket,0
283,0.5119,304.1,209.7,0.5159,0.0236,0.0005,model / self-contact,0
284,0.603,602.2,198.2,0.6069,-0.5024,-0.0188,IK fails,0
285,0.5082,215.4,275.2,0.5122,0.1671,-0.1123,IK fails,0
286,0.2817,352.8,62.6,0.2857,-0.0198,0.2031,hits pocket,0
287,0.4368,186.1,348.1,0.4407,0.1959,-0.1868,IK fails,0
288,0.3074,581.8,106.6,0.3113,-0.1856,0.1742,reachable,1
289,0.3239,363.1,127.7,0.3279,-0.0335,0.1563,hits pocket,0
290,0.2539,383.6,10.2,0.2578,-0.0316,0.2271,hits pocket,0
291,0.4148,0.1,173.7,0.4188,0.3563,0.0889,outside workspace box,0
292,0.5324,59.5,87.2,0.5364,0.3573,0.1752,outside workspace box,0
293,0.5385,537.8,139.6,0.5425,-0.3194,0.1009,model / self-contact,0
294,0.3773,177.4,254.2,0.3812,0.1548,0.0092,hits pocket,0
295,0.4583,104.0,105.8,0.4623,0.2529,0.1583,outside workspace box,0
296,0.5106,452.0,245.1,0.5145,-0.2044,-0.0589,model / self-contact,0
297,0.5632,50.9,38.1,0.5672,0.3757,0.2394,outside workspace box,0
298,0.3521,228.4,204.6,0.3561,0.0861,0.0789,hits pocket,0
299,0.5119,401.1,27.7,0.5158,-0.1003,0.247,reachable,1
300,0.2913,79.0,245.3,0.2952,0.185,0.0716,hits pocket,0
301,0.2726,315.0,241.8,0.2766,0.0035,0.0855,hits pocket,0
302,0.3636,29.5,347.1,0.3676,0.3385,-0.1069,outside workspace box,0
303,0.5418,475.0,191.3,0.5458,-0.242,0.0183,model / self-contact,0
304,0.4351,361.4,44.2,0.4391,-0.0428,0.2233,hits pocket,0
305,0.4586,110.6,296.5,0.4626,0.3041,-0.1131,outside workspace box,0
306,0.1851,601.5,226.5,0.1891,-0.1071,0.1431,reachable,1
307,0.4771,356.6,277.8,0.4811,-0.0544,-0.0945,model / self-contact,0
308,0.6112,219.1,235.9,0.6151,0.1905,-0.0991,IK fails,0
309,0.5965,438.3,132.2,0.6004,-0.1937,0.1007,IK fails,0
310,0.1141,529.7,307.9,0.1181,-0.0307,0.1668,model / self-contact,0
311,0.2149,186.1,284.4,0.2188,0.0695,0.094,hits pocket,0
312,0.5296,47.2,246.0,0.5335,0.4415,-0.0719,outside workspace box,0
313,0.3859,410.7,124.1,0.3898,-0.0877,0.1488,model / self-contact,0
314,0.5641,13.8,202.6,0.568,0.5073,-0.0104,outside workspace box,0
315,0.1489,50.0,138.0,0.1529,0.0623,0.1848,hits pocket,0
316,0.5467,243.2,4.7,0.5506,0.1004,0.2781,IK fails,0
317,0.4111,317.6,156.9,0.415,0.0026,0.1092,hits pocket,0
318,0.2105,544.0,104.9,0.2145,-0.0922,0.1857,reachable,1
319,0.0897,31.7,95.9,0.0937,0.012,0.1989,model / self-contact,0
320,0.1603,26.6,199.0,0.1643,0.0836,0.1648,hits pocket,0
321,0.1392,47.5,330.0,0.1432,0.0682,0.1381,hits pocket,0
322,0.4502,60.7,349.4,0.4541,0.3943,-0.2039,outside workspace box,0
323,0.0922,464.5,202.8,0.0962,-0.0079,0.193,model / self-contact,0
324,0.2855,538.8,150.5,0.2894,-0.147,0.1477,reachable,1
325,0.3633,86.6,40.8,0.3673,0.1927,0.2212,hits pocket,0
326,0.4179,364.0,186.7,0.4218,-0.0502,0.0722,hits pocket,0
327,0.2775,561.7,181.5,0.2814,-0.1615,0.1284,reachable,1
328,0.3865,164.2,110.5,0.3904,0.1488,0.1617,hits pocket,0
329,0.25,120.4,32.6,0.254,0.099,0.2166,hits pocket,0
330,0.4473,438.0,212.7,0.4512,-0.1504,0.026,reachable,1
331,0.2278,290.9,39.5,0.2317,0.0127,0.2117,hits pocket,0
332,0.1962,327.0,179.0,0.2002,-0.0028,0.1584,hits pocket,0
333,0.5573,528.2,156.0,0.5612,-0.3232,0.0711,model / self-contact,0
334,0.1171,169.9,339.1,0.1211,0.0247,0.1579,model / self-contact,0
335,0.1918,492.3,7.3,0.1958,-0.0555,0.2185,reachable,1
336,0.6095,557.2,126.0,0.6134,-0.3955,0.1086,IK fails,0
337,0.2877,594.8,288.1,0.2916,-0.2184,0.035,reachable,1
338,0.1257,549.3,164.6,0.1297,-0.0371,0.1853,model / self-contact,0
339,0.1313,545.3,293.8,0.1353,-0.0471,0.1554,model / self-contact,0
340,0.4962,554.6,186.8,0.5001,-0.3287,0.0428,model / self-contact,0
341,0.559,171.6,77.6,0.5629,0.2133,0.187,outside workspace box,0
342,0.2695,384.1,53.2,0.2735,-0.0361,0.2079,hits pocket,0
343,0.2521,549.8,168.6,0.2561,-0.1323,0.1453,reachable,1
344,0.3226,218.2,296.9,0.3265,0.0953,-0.0022,hits pocket,0
345,0.5039,606.9,112.4,0.5078,-0.3785,0.1447,reachable,1
346,0.5721,83.1,93.3,0.576,0.3554,0.1641,outside workspace box,0
347,0.1142,206.4,174.1,0.1182,0.0143,0.1874,model / self-contact,0
348,0.135,362.7,34.6,0.1389,-0.0072,0.2053,model / self-contact,0
349,0.0868,512.6,87.8,0.0907,-0.0062,0.1994,model / self-contact,0
350,0.0817,385.2,52.7,0.0857,-0.0011,0.2002,model / self-contact,0
351,0.5693,531.6,143.0,0.5732,-0.332,0.0889,IK fails,0
352,0.1009,476.2,72.3,0.1048,-0.0115,0.1997,model / self-contact,0
353,0.2646,109.7,178.0,0.2686,0.1311,0.1353,hits pocket,0
354,0.3828,532.5,168.9,0.3868,-0.2132,0.1044,reachable,1
355,0.4634,248.0,271.8,0.4673,0.1027,-0.0741,IK fails,0
356,0.2892,438.9,277.8,0.2931,-0.0939,0.0436,model / self-contact,0
357,0.2573,76.2,294.5,0.2613,0.1673,0.0534,hits pocket,0
358,0.4711,442.7,355.8,0.475,-0.1987,-0.2399,IK fails,0
359,0.4122,580.3,4.8,0.4162,-0.2431,0.2557,reachable,1
360,0.6261,62.3,314.1,0.6301,0.5501,-0.2958,outside workspace box,0
361,0.5497,21.9,48.0,0.5536,0.4085,0.2259,outside workspace box,0
362,0.5039,439.6,353.4,0.5079,-0.2091,-0.2709,IK fails,0
363,0.114,501.6,138.2,0.118,-0.0218,0.192,model / self-contact,0
364,0.4135,350.0,133.2,0.4175,-0.0319,0.1346,hits pocket,0
365,0.3739,10.7,59.4,0.3779,0.2695,0.2071,outside workspace box,0
366,0.4318,390.3,29.6,0.4358,-0.0712,0.2367,reachable,1
367,0.3628,538.4,103.2,0.3668,-0.1913,0.1709,reachable,1
368,0.174,579.9,253.1,0.178,-0.0917,0.1384,reachable,1
369,0.5445,618.6,123.1,0.5485,-0.436,0.124,IK fails,0
370,0.6026,289.6,284.3,0.6065,0.0598,-0.2018,IK fails,0
371,0.2438,577.7,289.7,0.2477,-0.1627,0.068,reachable,1
372,0.2061,584.1,55.2,0.2101,-0.1001,0.2046,reachable,1
373,0.0802,413.7,269.3,0.0842,-0.0014,0.1971,model / self-contact,0
374,0.5583,172.1,132.9,0.5623,0.2246,0.107,outside workspace box,0
375,0.2508,1.2,320.4,0.2548,0.218,0.0371,outside workspace box,0
376,0.087,394.6,336.9,0.0909,-0.0033,0.1889,model / self-contact,0
377,0.4713,349.0,80.0,0.4753,-0.0342,0.1866,hits pocket,0
378,0.5659,523.4,88.6,0.5699,-0.2999,0.1713,model / self-contact,0
379,0.1288,113.5,172.8,0.1327,0.0358,0.1829,model / self-contact,0
380,0.4672,196.8,134.7,0.4711,0.152,0.1223,model / self-contact,0
381,0.4408,202.8,190.7,0.4448,0.1432,0.0585,model / self-contact,0
382,0.0838,502.9,105.7,0.0878,-0.0044,0.1992,model / self-contact,0
383,0.5766,151.7,196.5,0.5806,0.284,-0.0048,outside workspace box,0
384,0.2584,318.7,119.1,0.2624,0.0007,0.1727,hits pocket,0
385,0.103,614.0,58.8,0.107,-0.0232,0.2007,model / self-contact,0
386,0.2118,195.3,231.4,0.2157,0.0594,0.1266,hits pocket,0
387,0.3129,451.7,250.2,0.3169,-0.1119,0.0539,model / self-contact,0
388,0.4239,534.2,116.6,0.4279,-0.2307,0.1506,reachable,1
389,0.2583,345.6,25.8,0.2623,-0.0132,0.2206,hits pocket,0
390,0.5202,360.4,351.4,0.5242,-0.0731,-0.2841,IK fails,0
391,0.212,307.8,70.7,0.2159,0.0049,0.199,hits pocket,0
392,0.3045,27.2,209.4,0.3085,0.2289,0.0957,outside workspace box,0
393,0.3001,421.5,191.3,0.304,-0.0762,0.1126,model / self-contact,0
394,0.6398,225.3,14.6,0.6437,0.1497,0.2796,IK fails,0
395,0.1792,48.1,9.2,0.1831,0.0782,0.216,hits pocket,0
396,0.141,87.2,286.0,0.1449,0.0566,0.15,hits pocket,0
397,0.6089,217.6,4.8,0.6129,0.1517,0.2884,IK fails,0
398,0.6272,205.5,303.4,0.6311,0.2416,-0.2688,outside workspace box,0
399,0.3453,465.6,93.9,0.3492,-0.1186,0.1801,reachable,1
400,0.5465,500.9,251.5,0.5505,-0.3057,-0.0927,IK fails,0
401,0.2679,348.5,236.7,0.2719,-0.0193,0.0922,hits pocket,0
402,0.4201,501.7,2.6,0.424,-0.1733,0.2589,reachable,1
403,0.4053,380.6,38.0,0.4093,-0.0571,0.2267,reachable,1
404,0.4537,485.0,193.0,0.4576,-0.2093,0.0504,reachable,1
405,0.606,453.5,74.1,0.6099,-0.21,0.1909,model / self-contact,0
406,0.1119,209.6,210.1,0.1159,0.0136,0.1835,model / self-contact,0
407,0.3271,637.7,235.5,0.331,-0.2811,0.0601,reachable,1
408,0.194,362.3,9.8,0.198,-0.0139,0.2181,reachable,1
409,0.135,623.8,29.2,0.139,-0.0509,0.2061,model / self-contact,0
410,0.5617,366.8,278.6,0.5657,-0.0843,-0.1583,IK fails,0
411,0.2586,551.2,273.7,0.2626,-0.1557,0.0693,reachable,1
412,0.1333,372.2,292.7,0.1373,-0.0113,0.1541,model / self-contact,0
413,0.2362,52.1,165.1,0.2402,0.1398,0.1522,hits pocket,0
414,0.2738,2.4,186.1,0.2777,0.2093,0.1265,outside workspace box,0
415,0.4476,565.2,120.3,0.4516,-0.2832,0.143,reachable,1
416,0.3306,363.6,107.9,0.3345,-0.034,0.1706,hits pocket,0
417,0.1029,235.3,85.5,0.1068,0.0068,0.1987,model / self-contact,0
418,0.1,33.4,80.2,0.104,0.0205,0.1992,model / self-contact,0
419,0.274,96.4,45.0,0.2779,0.1277,0.2124,hits pocket,0
420,0.2833,400.6,198.6,0.2873,-0.0565,0.1137,hits pocket,0
421,0.2878,469.3,337.3,0.2918,-0.1265,-0.0153,model / self-contact,0
422,0.1907,240.2,185.1,0.1946,0.0305,0.1578,hits pocket,0
423,0.4562,111.3,139.9,0.4602,0.2516,0.1181,outside workspace box,0
424,0.5349,9.5,49.8,0.5388,0.413,0.2228,outside workspace box,0
425,0.0833,212.6,201.3,0.0873,0.0026,0.1969,model / self-contact,0
426,0.1744,352.5,10.0,0.1783,-0.0089,0.215,model / self-contact,0
427,0.1252,286.7,188.6,0.1291,0.0055,0.1813,model / self-contact,0
428,0.4735,293.8,281.0,0.4774,0.0388,-0.0973,IK fails,0
429,0.5294,236.2,178.6,0.5334,0.1256,0.0435,IK fails,0
430,0.6314,168.4,50.5,0.6354,0.2441,0.2266,outside workspace box,0
431,0.3363,558.7,314.7,0.3403,-0.2413,-0.0353,model / self-contact,0
432,0.5241,22.6,267.5,0.5281,0.4878,-0.1088,outside workspace box,0
433,0.5377,617.7,12.9,0.5416,-0.3847,0.2672,model / self-contact,0
434,0.5903,215.6,240.0,0.5943,0.1903,-0.0958,IK fails,0
435,0.4814,73.4,173.0,0.4853,0.3284,0.0679,outside workspace box,0
436,0.6323,593.0,305.0,0.6363,-0.5823,-0.2773,IK fails,0
437,0.4037,282.5,146.3,0.4076,0.0393,0.1227,hits pocket,0
438,0.4052,442.8,325.0,0.4092,-0.1591,-0.1143,model / self-contact,0
439,0.5128,579.8,149.6,0.5168,-0.3637,0.0921,model / self-contact,0
440,0.4743,638.8,28.4,0.4783,-0.3606,0.2423,reachable,1
441,0.5737,578.0,322.0,0.5776,-0.5033,-0.2676,IK fails,0
442,0.3549,178.4,146.3,0.3588,0.1261,0.1342,hits pocket,0
443,0.4463,620.6,95.6,0.4503,-0.3373,0.1708,reachable,1
444,0.5722,486.3,52.8,0.5762,-0.2398,0.2207,model / self-contact,0
445,0.5838,323.3,344.3,0.5878,-0.0069,-0.3344,IK fails,0
446,0.5508,606.4,65.8,0.5547,-0.4001,0.2029,model / self-contact,0
447,0.4397,552.2,341.0,0.4437,-0.3394,-0.1766,IK fails,0
448,0.1447,235.9,211.3,0.1487,0.0198,0.1682,hits pocket,0
449,0.2537,637.6,260.0,0.2577,-0.2047,0.0832,reachable,1
450,0.2499,588.1,256.5,0.2538,-0.1684,0.0883,reachable,1
451,0.242,594.8,116.8,0.2459,-0.1412,0.1763,reachable,1
452,0.1148,19.0,252.3,0.1188,0.0419,0.1758,model / self-contact,0
453,0.631,31.2,236.2,0.635,0.5655,-0.1108,outside workspace box,0
454,0.1872,41.1,273.5,0.1912,0.1144,0.1205,hits pocket,0
455,0.1665,551.2,4.4,0.1704,-0.0581,0.2151,model / self-contact,0
456,0.129,624.1,207.1,0.133,-0.055,0.1763,model / self-contact,0
457,0.3107,3.0,147.3,0.3146,0.2377,0.1439,outside workspace box,0
458,0.1424,341.0,245.1,0.1463,-0.005,0.1605,model / self-contact,0
459,0.6479,203.8,19.1,0.6519,0.1872,0.2743,outside workspace box,0
460,0.2212,271.3,244.3,0.2251,0.0252,0.114,hits pocket,0
461,0.105,440.5,356.3,0.1089,-0.0143,0.1677,model / self-contact,0
462,0.4318,105.8,288.6,0.4358,0.2864,-0.0784,outside workspace box,0
463,0.3068,606.6,131.3,0.3108,-0.2079,0.1567,reachable,1
464,0.1625,183.3,289.6,0.1665,0.0445,0.132,hits pocket,0
465,0.598,243.1,237.4,0.602,0.1419,-0.0948,IK fails,0
466,0.5684,520.2,30.6,0.5724,-0.2806,0.2495,model / self-contact,0
467,0.3823,506.4,169.5,0.3862,-0.1869,0.104,reachable,1
468,0.2422,283.7,20.0,0.2461,0.017,0.2212,hits pocket,0
469,0.1089,584.4,215.5,0.1129,-0.0299,0.1842,model / self-contact,0
470,0.5367,352.9,222.6,0.5407,-0.0527,-0.0335,IK fails,0
471,0.632,372.2,72.5,0.6359,-0.086,0.193,IK fails,0
472,0.4626,189.6,261.1,0.4666,0.1831,-0.056,IK fails,0
473,0.2826,590.9,275.4,0.2866,-0.2069,0.0505,reachable,1
474,0.3939,33.5,8.3,0.3978,0.2538,0.2499,outside workspace box,0
475,0.2416,504.0,25.3,0.2455,-0.0862,0.2189,reachable,1
476,0.4378,242.7,323.8,0.4418,0.1099,-0.1431,IK fails,0
477,0.4623,259.0,331.9,0.4662,0.0935,-0.182,IK fails,0
478,0.3751,430.2,256.4,0.3791,-0.1191,0.0079,model / self-contact,0
479,0.3931,299.2,350.1,0.3971,0.0268,-0.1434,hits pocket,0
480,0.1654,260.0,33.7,0.1693,0.0153,0.2083,model / self-contact,0
481,0.1808,49.8,244.4,0.1848,0.1008,0.1379,hits pocket,0
482,0.2881,424.7,75.5,0.2921,-0.066,0.1955,reachable,1
483,0.5151,208.6,88.7,0.519,0.1473,0.1741,model / self-contact,0
484,0.1632,194.4,329.3,0.1672,0.0433,0.1149,hits pocket,0
485,0.2276,572.8,55.3,0.2315,-0.1116,0.2053,reachable,1
486,0.553,629.6,17.0,0.5569,-0.4149,0.2645,IK fails,0
487,0.6249,104.8,186.9,0.6289,0.3941,-0.0054,outside workspace box,0
488,0.3549,76.1,135.7,0.3589,0.2148,0.1437,outside workspace box,0
489,0.1992,417.4,121.0,0.2032,-0.0373,0.1808,reachable,1
490,0.6387,581.0,2.9,0.6427,-0.4074,0.2959,IK fails,0
491,0.489,95.6,83.2,0.4929,0.2775,0.1823,outside workspace box,0
492,0.5854,142.5,74.9,0.5894,0.2685,0.1902,outside workspace box,0
493,0.5937,293.7,276.3,0.5977,0.0505,-0.1766,IK fails,0
494,0.4582,251.6,332.6,0.4622,0.1039,-0.1794,IK fails,0
495,0.3153,387.1,162.2,0.3192,-0.0521,0.1309,hits pocket,0
496,0.3411,207.4,100.4,0.345,0.0909,0.1753,hits pocket,0
497,0.0942,260.9,94.4,0.0982,0.0033,0.1986,model / self-contact,0
498,0.2516,622.9,206.2,0.2555,-0.1812,0.122,reachable,1
499,0.5515,537.8,175.3,0.5555,-0.3411,0.0413,IK fails,0
500,0.1912,105.5,52.4,0.1951,0.0718,0.2049,hits pocket,0
501,0.2468,550.5,275.3,0.2508,-0.1455,0.0765,reachable,1
502,0.2828,597.5,309.7,0.2868,-0.2214,0.0179,reachable,1
503,0.4738,383.9,354.5,0.4777,-0.104,-0.2402,IK fails,0
504,0.5848,126.6,215.5,0.5887,0.339,-0.044,outside workspace box,0
505,0.4972,340.7,168.3,0.5012,-0.0285,0.0697,reachable,1
506,0.5571,488.2,346.0,0.5611,-0.3273,-0.3106,IK fails,0
507,0.4912,522.7,170.5,0.4952,-0.2758,0.0684,reachable,1
508,0.3321,222.8,301.2,0.3361,0.095,-0.0151,hits pocket,0
509,0.3667,71.1,12.1,0.3707,0.2024,0.2429,outside workspace box,0
510,0.2274,159.0,229.9,0.2314,0.0854,0.119,hits pocket,0
511,0.2935,283.9,50.9,0.2975,0.0228,0.2102,hits pocket,0
512,0.1113,363.9,191.0,0.1153,-0.0052,0.1863,model / self-contact,0
513,0.1393,550.4,257.0,0.1433,-0.0527,0.1592,model / self-contact,0
514,0.2961,70.6,62.4,0.3001,0.1611,0.2034,hits pocket,0
515,0.4266,156.7,82.3,0.4305,0.1712,0.1858,model / self-contact,0
516,0.5987,76.4,76.7,0.6026,0.3787,0.1873,outside workspace box,0
517,0.5951,75.3,80.2,0.5991,0.3791,0.1822,outside workspace box,0
518,0.6317,499.9,161.4,0.6357,-0.3243,0.0411,IK fails,0
519,0.172,209.2,213.7,0.176,0.0365,0.1546,hits pocket,0
520,0.4825,293.9,88.3,0.4864,0.0319,0.1766,model / self-contact,0
521,0.5882,117.9,319.0,0.5921,0.4041,-0.2736,outside workspace box,0
522,0.2314,491.9,318.9,0.2354,-0.1043,0.0563,hits pocket,0
523,0.3961,33.1,327.0,0.4001,0.3622,-0.1087,outside workspace box,0
524,0.2429,28.1,279.3,0.2469,0.1809,0.0764,hits pocket,0
525,0.4116,609.3,354.5,0.4155,-0.3972,-0.1712,IK fails,0
526,0.2148,581.0,128.5,0.2188,-0.1135,0.1752,reachable,1
527,0.2354,223.2,3.1,0.2394,0.0428,0.2271,hits pocket,0
528,0.3645,299.3,130.3,0.3684,0.0187,0.1467,hits pocket,0
529,0.1767,18.9,341.6,0.1806,0.1219,0.0955,hits pocket,0
530,0.4526,53.8,218.2,0.4566,0.3463,0.0156,outside workspace box,0
531,0.1427,205.4,329.6,0.1467,0.0303,0.1348,hits pocket,0
532,0.3195,110.1,303.7,0.3234,0.1957,-0.0074,hits pocket,0
533,0.3353,358.3,276.4,0.3393,-0.0367,0.0112,model / self-contact,0
534,0.3437,569.9,80.6,0.3477,-0.1998,0.1905,reachable,1
535,0.418,108.7,85.7,0.422,0.2168,0.1829,outside workspace box,0
536,0.6472,286.9,97.1,0.6511,0.0573,0.1524,outside workspace box,0
537,0.4648,370.2,318.8,0.4687,-0.0762,-0.1593,IK fails,0
538,0.6198,58.5,176.7,0.6238,0.4691,0.016,outside workspace box,0
539,0.5075,340.1,50.9,0.5114,-0.0251,0.2202,reachable,1
540,0.4464,497.9,264.4,0.4504,-0.2404,-0.0505,model / self-contact,0
541,0.2542,544.6,154.9,0.2582,-0.1289,0.1529,reachable,1
542,0.6315,573.2,30.9,0.6354,-0.4003,0.2554,IK fails,0
543,0.5311,114.2,120.4,0.5351,0.2911,0.1301,outside workspace box,0
544,0.4393,79.9,134.2,0.4433,0.2749,0.1284,outside workspace box,0
545,0.2266,211.6,304.2,0.2306,0.0626,0.0714,hits pocket,0
546,0.1158,377.5,126.9,0.1198,-0.0072,0.1931,model / self-contact,0
547,0.2402,178.2,293.8,0.2441,0.088,0.0677,hits pocket,0
548,0.5995,221.0,319.9,0.6034,0.2026,-0.2864,outside workspace box,0
549,0.2055,367.4,39.7,0.2095,-0.0176,0.2099,model / self-contact,0
550,0.6069,506.6,136.5,0.6109,-0.313,0.0915,IK fails,0
551,0.4433,242.7,355.3,0.4473,0.1163,-0.2081,IK fails,0
552,0.5302,178.4,197.0,0.5342,0.2169,0.0135,outside workspace box,0
553,0.2998,158.8,106.3,0.3038,0.1105,0.1752,hits pocket,0
554,0.4383,232.2,338.2,0.4423,0.1273,-0.1699,IK fails,0
555,0.2912,377.5,340.8,0.2951,-0.0497,-0.0226,model / self-contact,0
556,0.5503,439.2,60.7,0.5543,-0.1655,0.2096,reachable,1
557,0.4555,94.0,293.2,0.4594,0.324,-0.1047,outside workspace box,0
558,0.4261,3.2,274.2,0.43,0.4094,-0.0515,outside workspace box,0
559,0.3031,606.7,335.0,0.307,-0.2595,-0.0281,model / self-contact,0
560,0.2881,71.1,151.0,0.2921,0.1694,0.1467,hits pocket,0
561,0.2457,320.0,89.7,0.2497,-0.0,0.1895,hits pocket,0
562,0.2176,41.0,270.9,0.2216,0.1452,0.1003,hits pocket,0
563,0.5548,435.7,99.6,0.5588,-0.1686,0.1565,reachable,1
564,0.5186,152.5,43.4,0.5226,0.2136,0.2296,outside workspace box,0
565,0.3926,146.0,62.8,0.3965,0.1617,0.2045,model / self-contact,0
566,0.1013,274.2,149.5,0.1052,0.0037,0.1938,model / self-contact,0
567,0.2077,468.3,132.7,0.2117,-0.0615,0.1747,reachable,1
568,0.4262,608.7,8.1,0.4301,-0.2817,0.2552,reachable,1
569,0.2375,11.4,137.5,0.2415,0.1577,0.1665,hits pocket,0
570,0.3931,51.4,281.9,0.3971,0.3173,-0.0386,outside workspace box,0
571,0.1164,49.5,351.8,0.1204,0.0446,0.1559,hits pocket,0
572,0.2935,314.9,11.0,0.2975,0.0031,0.2327,hits pocket,0
573,0.4565,314.6,308.3,0.4605,0.0079,-0.1323,IK fails,0
574,0.0771,225.5,66.3,0.0811,0.0003,0.2,model / self-contact,0
575,0.1555,210.2,22.6,0.1595,0.0246,0.2096,model / self-contact,0
576,0.2744,416.5,72.6,0.2783,-0.0567,0.1975,reachable,1
577,0.5545,4.5,328.6,0.5585,0.5967,-0.2652,outside workspace box,0
578,0.3451,60.6,246.4,0.349,0.2492,0.0382,outside workspace box,0
579,0.1581,526.0,64.3,0.162,-0.0497,0.2008,model / self-contact,0
580,0.311,610.6,75.0,0.315,-0.2027,0.1954,reachable,1
581,0.2483,107.0,117.0,0.2522,0.1136,0.1753,hits pocket,0
582,0.6241,388.9,190.5,0.628,-0.1265,-0.0122,IK fails,0
583,0.228,517.0,267.6,0.232,-0.1097,0.0951,hits pocket,0
584,0.226,193.8,164.7,0.23,0.0616,0.1554,hits pocket,0
585,0.2775,118.9,70.8,0.2814,0.1198,0.1984,hits pocket,0
586,0.413,215.2,338.8,0.417,0.1415,-0.1451,IK fails,0
587,0.3804,533.6,157.4,0.3844,-0.21,0.117,reachable,1
588,0.1296,174.5,156.0,0.1336,0.0251,0.1857,model / self-contact,0
589,0.1093,634.6,197.9,0.1133,-0.0353,0.1862,model / self-contact,0
590,0.4311,545.0,154.8,0.4351,-0.2574,0.1062,reachable,1
591,0.3488,100.6,142.4,0.3528,0.1903,0.1391,hits pocket,0
592,0.3475,318.2,295.1,0.3514,0.0018,-0.0204,hits pocket,0
593,0.2346,193.6,96.4,0.2386,0.0608,0.1871,hits pocket,0
594,0.2123,127.5,208.1,0.2163,0.0896,0.1384,hits pocket,0
595,0.1081,212.4,93.1,0.112,0.0104,0.1977,model / self-contact,0
596,0.5536,115.5,91.6,0.5576,0.2949,0.1679,outside workspace box,0
597,0.496,141.6,298.2,0.4999,0.2849,-0.147,outside workspace box,0
598,0.1191,623.5,271.3,0.123,-0.048,0.1696,model / self-contact,0
599,0.3162,601.6,303.2,0.3201,-0.2588,-0.0039,reachable,1
600,0.1806,277.5,11.1,0.1845,0.0124,0.2157,hits pocket,0
601,0.645,457.5,39.8,0.649,-0.2246,0.2435,IK fails,0
602,0.2277,13.9,356.8,0.2317,0.1906,0.0303,hits pocket,0
603,0.2237,295.0,196.4,0.2277,0.0125,0.1397,hits pocket,0
604,0.5441,141.1,18.2,0.548,0.2355,0.2619,outside workspace box,0
605,0.5659,622.3,45.2,0.5699,-0.4273,0.2304,IK fails,0
606,0.2827,461.1,270.1,0.2866,-0.1071,0.0552,reachable,1
607,0.6273,36.8,248.6,0.6312,0.5587,-0.1362,outside workspace box,0
608,0.372,421.6,84.3,0.376,-0.0901,0.1864,model / self-contact,0
609,0.4537,77.9,258.4,0.4577,0.3312,-0.0459,outside workspace box,0
610,0.0862,285.9,3.1,0.0902,0.001,0.2017,model / self-contact,0
611,0.3951,436.5,249.3,0.3991,-0.1331,0.0044,reachable,1
612,0.1133,145.7,238.7,0.1173,0.023,0.1788,model / self-contact,0
613,0.2633,401.7,206.0,0.2673,-0.0521,0.1169,hits pocket,0
614,0.1586,140.3,260.8,0.1626,0.0539,0.1454,hits pocket,0
615,0.4464,100.7,227.8,0.4503,0.2837,0.0049,outside workspace box,0
