depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.5385,0,0,167.4,107.5,0.5425,0.2164,0.1472,0,0,0,,,,,,,,,,
0.4871,1,0,58.8,216.0,0.4911,0.3701,0.002,0,0,0,,,,,,,,,,
0.215,2,0,120.3,19.9,0.2189,0.0782,0.2178,1,1,1,7e-05,0.6586,0.5949,0.14265,-0.007029,0.594889,-0.388612,-0.01059,-0.357146,0.444778
0.14,3,0,420.8,202.4,0.144,-0.0219,0.1724,1,1,1,9e-05,0.4089,0.9346,0.934556,-0.28246,0.400121,-0.638292,0.093475,-0.728731,0.560732
0.3037,4,0,276.9,240.9,0.3076,0.0348,0.0682,1,1,1,6e-05,0.9295,0.4086,0.214935,0.097848,0.408587,-0.117717,0.017681,-0.091742,0.267296
0.4598,5,0,405.2,348.3,0.4638,-0.1327,-0.212,0,1,0,,,,,,,,,,
0.2576,6,0,250.6,67.4,0.2615,0.0371,0.2003,1,1,1,6e-05,0.6801,0.4713,0.182613,0.011922,0.47128,-0.367119,0.00111,-0.332787,0.356921
0.5153,7,0,327.1,320.8,0.5193,-0.0122,-0.2103,0,1,0,,,,,,,,,,
0.3325,8,0,203.6,332.7,0.3365,0.1187,-0.0547,1,1,1,7e-05,1.2583,0.5332,-0.238744,0.329902,0.411783,0.533247,-0.088516,0.258648,0.033686
0.1127,9,0,444.0,38.6,0.1167,-0.013,0.2029,1,1,1,8e-05,0.38,0.8662,0.866198,-0.365638,0.39745,-0.667205,0.10152,-0.864151,0.626782
0.4579,10,0,129.2,318.4,0.4618,0.2842,-0.1521,0,0,0,,,,,,,,,,
0.2939,11,0,543.5,232.0,0.2979,-0.171,0.0816,1,1,1,6e-05,0.7223,0.45,0.449963,0.021514,0.05397,-0.324942,-0.017826,-0.251375,0.004261
0.5673,12,0,330.6,213.6,0.5712,-0.0179,-0.0321,0,1,0,,,,,,,,,,
0.4182,13,0,280.4,321.2,0.4222,0.053,-0.1202,1,1,0,0.03054,0.6741,1.4203,-0.837303,0.25881,0.031897,1.42033,-0.094413,0.066848,-0.004653
0.4655,14,0,530.8,179.3,0.4695,-0.2716,0.0646,1,1,1,7e-05,1.3397,0.5187,-0.518747,-0.222988,-0.273732,0.450511,0.042841,0.27476,-0.043774
0.1797,15,0,217.0,188.2,0.1837,0.0357,0.1607,1,1,1,5e-05,0.5599,0.5638,0.563801,-0.142798,0.538587,-0.48733,0.066406,-0.46633,0.557212
0.4712,16,0,64.5,13.9,0.4751,0.2829,0.2565,0,0,0,,,,,,,,,,
0.5511,17,0,292.1,323.2,0.5551,0.052,-0.2492,0,1,0,,,,,,,,,,
0.4052,18,0,246.5,350.5,0.4092,0.0985,-0.1573,0,1,0,,,,,,,,,,
0.1677,19,0,490.2,146.6,0.1717,-0.0498,0.1783,1,1,1,7e-05,0.4157,0.8972,0.897222,-0.193175,0.345519,-0.6315,0.049578,-0.71753,0.42567
0.4123,20,0,109.9,65.2,0.4162,0.2078,0.2026,0,0,0,,,,,,,,,,
0.5498,21,0,72.1,7.2,0.5538,0.327,0.2757,0,0,0,,,,,,,,,,
0.3431,22,0,63.6,162.2,0.3471,0.2224,0.1229,0,0,0,,,,,,,,,,
0.6124,23,0,397.0,181.4,0.6164,-0.1369,0.0095,0,1,0,,,,,,,,,,
0.4204,24,0,480.3,206.8,0.4243,-0.1882,0.0461,1,1,1,4e-05,1.2089,0.1969,-0.196899,-0.060401,-0.09582,0.161735,0.006459,0.109052,-0.032748
0.186,25,0,324.2,347.3,0.1899,-0.0019,0.0825,1,1,1,4e-05,0.5904,0.8182,0.818221,-0.104821,0.451255,-0.456826,0.10574,-0.353774,0.497294
0.5207,26,0,189.5,333.8,0.5247,0.2309,-0.244,0,0,0,,,,,,,,,,
0.0845,27,0,529.6,39.7,0.0884,-0.0051,0.2006,1,1,1,5e-05,0.3685,0.9227,0.887123,-0.462306,0.392462,-0.67874,0.137476,-0.922686,0.731952
0.241,28,0,628.4,160.5,0.245,-0.165,0.1533,1,1,1,6e-05,0.5181,0.6724,0.672373,0.010623,0.101397,-0.529134,-0.042498,-0.504138,0.024646
0.2696,29,0,31.4,140.3,0.2736,0.1773,0.1581,1,1,1,5e-05,1.0406,0.688,-0.157999,0.235925,0.687964,-0.006611,-0.09803,-0.001195,0.266457
