depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,5,3,0.3576,0.09,0.085,3e-05,0.3642,0.0514,0.0521,0.0512,0.17269,1,0.0,1,176,right_shoulder_yaw_link|torso_link
0.3,5,4,0.3576,0.03,0.085,0.0001,0.358,0.0119,0.0682,0.0247,0.10457,1,0.0,1,166,right_shoulder_yaw_link|torso_link
0.3,5,5,0.3576,-0.03,0.085,4e-05,0.3571,-0.0357,0.08,0.0076,0.04222,1,0.0,1,90,right_shoulder_yaw_link|torso_link
0.3,5,6,0.3576,-0.09,0.085,3e-05,0.3576,-0.09,0.085,0.0,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.3,5,7,0.3576,-0.15,0.085,0.0001,0.3577,-0.15,0.085,0.0001,0.0,0,0.0,0,0,
0.3,5,8,0.3576,-0.21,0.085,8e-05,0.3577,-0.21,0.085,0.0001,0.0,0,0.0,0,0,
0.3,5,9,0.3576,-0.27,0.085,5e-05,0.3576,-0.27,0.085,0.0001,0.0,0,0.0,0,0,
0.3,6,2,0.3464,0.15,0.0531,6e-05,0.3469,0.1195,0.0384,0.0339,0.24412,1,0.02117,1,102,left_hand_Link1_2|right_hand_Link1_2;left_hand_Link1_2|right_hand_Link1_3;left_hand_Link1_2|right_hand_Link2_2;left_hand_Link1_2|right_hand_Link2_3;left_hand_Link2_1|right_hand_Link2_2;left_hand_Link2_1|right_hand_Link2_3;left_hand_base_link|right_hand_Link2_2;left_hand_base_link|right_hand_Link2_3;right_shoulder_yaw_link|torso_link
0.3,6,3,0.3464,0.09,0.0531,4e-05,0.351,0.046,0.0167,0.0573,0.18717,1,0.0,1,240,right_shoulder_yaw_link|torso_link
0.3,6,4,0.3464,0.03,0.0531,4e-05,0.3454,0.0109,0.0359,0.0258,0.10394,1,0.0,1,214,right_shoulder_yaw_link|torso_link
0.3,6,5,0.3464,-0.03,0.0531,4e-05,0.3454,-0.0365,0.0477,0.0085,0.04455,1,0.0,1,66,right_shoulder_yaw_link|torso_link
0.3,6,6,0.3464,-0.09,0.0531,4e-05,0.3465,-0.09,0.0531,0.0001,0.0,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.3,6,7,0.3464,-0.15,0.0531,4e-05,0.3465,-0.15,0.0531,0.0001,0.0,0,0.0,0,0,
0.3,6,8,0.3464,-0.21,0.0531,9e-05,0.3465,-0.21,0.0531,0.0001,0.0,0,0.0,0,0,
0.3,6,9,0.3464,-0.27,0.0531,7e-05,0.3465,-0.27,0.0531,0.0001,0.0,0,0.0,0,0,
0.3,7,2,0.3353,0.15,0.0213,8e-05,0.3628,0.0681,-0.0239,0.0975,0.27031,1,1e-05,1,210,right_shoulder_yaw_link|torso_link
0.3,7,3,0.3353,0.09,0.0213,7e-05,0.3376,0.0408,-0.0175,0.0627,0.19522,1,0.0,1,240,right_shoulder_yaw_link|torso_link
0.3,7,4,0.3353,0.03,0.0213,6e-05,0.333,0.0085,0.0031,0.0282,0.10758,1,0.0,1,182,right_shoulder_yaw_link|torso_link
0.3,7,5,0.3353,-0.03,0.0213,5e-05,0.3337,-0.038,0.015,0.0103,0.05009,1,0.0,1,8,right_shoulder_yaw_link|torso_link
0.3,7,6,0.3353,-0.09,0.0213,5e-05,0.3351,-0.0907,0.0208,0.0009,0.00542,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.3,7,7,0.3353,-0.15,0.0213,4e-05,0.3353,-0.15,0.0212,0.0001,0.0,0,0.0,0,0,
0.3,7,8,0.3353,-0.21,0.0213,3e-05,0.3353,-0.21,0.0212,0.0001,0.0,0,0.0,0,0,
0.3,7,9,0.3353,-0.27,0.0213,8e-05,0.3354,-0.27,0.0212,0.0001,0.0,0,0.0,0,0,
0.3,8,2,0.3241,0.15,-0.0106,7e-05,0.3617,0.0702,-0.0338,0.0912,0.28142,1,0.0,1,188,right_shoulder_yaw_link|torso_link
0.3,8,3,0.3241,0.09,-0.0106,7e-05,0.3301,0.0375,-0.0268,0.0552,0.20503,1,0.0,1,206,right_shoulder_yaw_link|torso_link
0.3,8,4,0.3241,0.03,-0.0106,7e-05,0.3195,0.0097,-0.0245,0.025,0.11541,1,2e-05,1,126,right_shoulder_yaw_link|torso_link
0.3,8,5,0.3241,-0.03,-0.0106,6e-05,0.3218,-0.0405,-0.0178,0.013,0.05804,1,0.0,1,4,right_shoulder_yaw_link|torso_link
0.3,8,6,0.3241,-0.09,-0.0106,5e-05,0.3237,-0.092,-0.0116,0.0023,0.01259,1,0.0,0,0,right_shoulder_yaw_link|torso_link
0.3,8,7,0.3241,-0.15,-0.0106,5e-05,0.3242,-0.15,-0.0106,0.0001,0.0,0,0.0,0,0,
0.3,8,8,0.3241,-0.21,-0.0106,4e-05,0.3242,-0.21,-0.0106,0.0001,0.0,0,0.0,0,0,
0.3,8,9,0.3241,-0.27,-0.0106,9e-05,0.3242,-0.27,-0.0106,0.0001,0.0,0,0.0,0,0,
0.3,9,2,0.313,0.15,-0.0425,6e-05,0.3673,0.0676,-0.0278,0.0998,0.30164,1,0.0,1,156,right_shoulder_yaw_link|torso_link
0.3,9,3,0.313,0.09,-0.0425,5e-05,0.3283,0.0339,-0.0213,0.0619,0.29335,1,0.0,1,142,right_shoulder_yaw_link|torso_link
0.3,9,4,0.313,0.03,-0.0425,8e-05,0.3171,0.0056,-0.0198,0.0336,0.19059,1,0.0,1,70,right_shoulder_yaw_link|torso_link
0.3,9,5,0.313,-0.03,-0.0425,7e-05,0.3166,-0.0419,-0.0204,0.0254,0.13078,1,1e-05,0,0,right_shoulder_yaw_link|torso_link
0.3,9,6,0.313,-0.09,-0.0425,6e-05,0.3175,-0.0947,-0.022,0.0215,0.0941,1,0.0,0,0,right_shoulder_yaw_link|torso_link
