depth,row,col,tx,ty,tz,state,final_ok
0.4,0,5,0.5244,-0.04,0.259,reachable,1
0.4,0,6,0.5244,-0.12,0.259,reachable,1
0.4,0,7,0.5244,-0.2,0.259,reachable,1
0.4,0,8,0.5244,-0.28,0.259,reachable,1
0.4,0,9,0.5244,-0.36,0.259,reachable,1
0.4,1,0,0.5096,0.36,0.2165,outside workspace box,0
0.4,1,1,0.5096,0.28,0.2165,outside workspace box,0
0.4,1,2,0.5096,0.2,0.2165,IK fails,0
0.4,1,3,0.5096,0.12,0.2165,model / self-contact,0
0.4,1,4,0.5096,0.04,0.2165,model / self-contact,0
0.4,1,5,0.5096,-0.04,0.2165,reachable,1
0.4,1,6,0.5096,-0.12,0.2165,reachable,1
0.4,1,7,0.5096,-0.2,0.2165,reachable,1
0.4,1,8,0.5096,-0.28,0.2165,reachable,1
0.4,1,9,0.5096,-0.36,0.2165,reachable,1
0.4,2,0,0.4947,0.36,0.174,outside workspace box,0
0.4,2,1,0.4947,0.28,0.174,outside workspace box,0
0.4,2,2,0.4947,0.2,0.174,model / self-contact,0
0.4,2,3,0.4947,0.12,0.174,model / self-contact,0
0.4,2,4,0.4947,0.04,0.174,model / self-contact,0
0.4,2,5,0.4947,-0.04,0.174,reachable,1
0.4,2,6,0.4947,-0.12,0.174,reachable,1
0.4,2,7,0.4947,-0.2,0.174,reachable,1
0.4,2,8,0.4947,-0.28,0.174,reachable,1
0.4,2,9,0.4947,-0.36,0.174,reachable,1
0.4,3,0,0.4798,0.36,0.1316,outside workspace box,0
0.4,3,1,0.4798,0.28,0.1316,outside workspace box,0
0.4,3,2,0.4798,0.2,0.1316,model / self-contact,0
0.4,3,3,0.4798,0.12,0.1316,model / self-contact,0
0.4,3,4,0.4798,0.04,0.1316,model / self-contact,0
0.4,3,5,0.4798,-0.04,0.1316,hits pocket,0
0.4,3,6,0.4798,-0.12,0.1316,reachable,1
0.4,3,7,0.4798,-0.2,0.1316,reachable,1
0.4,3,8,0.4798,-0.28,0.1316,reachable,1
0.4,3,9,0.4798,-0.36,0.1316,reachable,1
0.4,4,0,0.465,0.36,0.0891,outside workspace box,0
0.4,4,1,0.465,0.28,0.0891,outside workspace box,0
0.4,4,2,0.465,0.2,0.0891,model / self-contact,0
0.4,4,3,0.465,0.12,0.0891,model / self-contact,0
0.4,4,4,0.465,0.04,0.0891,hits pocket,0
0.4,4,5,0.465,-0.04,0.0891,hits pocket,0
0.4,4,6,0.465,-0.12,0.0891,reachable,1
0.4,4,7,0.465,-0.2,0.0891,reachable,1
0.4,4,8,0.465,-0.28,0.0891,reachable,1
0.4,4,9,0.465,-0.36,0.0891,reachable,1
0.4,5,0,0.4501,0.36,0.0466,outside workspace box,0
0.4,5,1,0.4501,0.28,0.0466,outside workspace box,0
0.4,5,2,0.4501,0.2,0.0466,model / self-contact,0
0.4,5,3,0.4501,0.12,0.0466,model / self-contact,0
0.4,5,4,0.4501,0.04,0.0466,hits pocket,0
0.4,5,5,0.4501,-0.04,0.0466,hits pocket,0
0.4,5,6,0.4501,-0.12,0.0466,reachable,1
0.4,5,7,0.4501,-0.2,0.0466,reachable,1
0.4,5,8,0.4501,-0.28,0.0466,reachable,1
0.4,5,9,0.4501,-0.36,0.0466,reachable,1
0.4,6,0,0.4352,0.36,0.0041,outside workspace box,0
0.4,6,1,0.4352,0.28,0.0041,outside workspace box,0
0.4,6,2,0.4352,0.2,0.0041,model / self-contact,0
0.4,6,3,0.4352,0.12,0.0041,model / self-contact,0
