depth,row,col,tx,ty,tz,ik_err_m,isaac_tip_x,isaac_tip_y,isaac_tip_z,isaac_vs_target_m,joint_deviation_rad,self_collision,penetration_m,pocket_hit,pocket_pts,collision_pairs
0.3,0,2,0.1588,0.0355,0.2105,7e-05,0.1683,0.0317,0.202,0.0133,0.03637,1,8e-05,1,8,logo_link|right_hand_base_link;right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.3,0,3,0.1609,0.0218,0.2107,9e-05,0.1677,0.0233,0.2011,0.0119,0.05,1,0.00027,0,0,logo_link|right_hand_base_link;right_hand_base_link|torso_link;right_wrist_pitch_link|torso_link;right_wrist_roll_link|torso_link
0.3,0,4,0.162,0.0074,0.2109,4e-05,0.1678,0.0051,0.2066,0.0075,0.02937,1,0.00118,0,0,logo_link|right_hand_base_link;right_hand_base_link|torso_link;right_wrist_roll_link|torso_link
0.3,0,5,0.162,-0.0074,0.2109,5e-05,0.1694,-0.0099,0.2048,0.0099,0.0425,1,0.00094,0,0,right_hand_base_link|torso_link
0.3,0,6,0.1609,-0.0218,0.2107,7e-05,0.1707,-0.0249,0.2016,0.0137,0.05872,1,0.00055,0,0,right_hand_base_link|torso_link
0.3,0,7,0.1588,-0.0355,0.2105,9e-05,0.1696,-0.054,0.2129,0.0216,0.09131,1,0.0,0,0,right_hand_base_link|torso_link
0.3,0,8,0.1561,-0.0479,0.2101,5e-05,0.1642,-0.0647,0.2128,0.0188,0.07184,1,0.00043,0,0,right_hand_base_link|torso_link
0.3,0,9,0.1529,-0.059,0.2097,6e-05,0.1563,-0.0674,0.2105,0.0091,0.03478,1,0.00081,0,0,right_hand_base_link|torso_link
0.3,1,0,0.1602,0.0673,0.2031,4e-05,0.1815,0.0478,0.1962,0.0297,0.11119,1,1e-05,1,78,right_elbow_link|torso_link;right_wrist_roll_link|torso_link
0.3,1,1,0.1646,0.0552,0.2033,5e-05,0.1795,0.0406,0.1975,0.0217,0.08401,1,1e-05,1,54,right_wrist_roll_link|torso_link
0.3,1,2,0.1686,0.0412,0.2034,6e-05,0.1759,0.0331,0.1983,0.0121,0.04921,1,0.0,1,22,right_wrist_roll_link|torso_link
0.3,1,3,0.1715,0.0256,0.2035,7e-05,0.1749,0.0216,0.2012,0.0058,0.0245,1,0.0,1,4,right_hand_base_link|torso_link;right_wrist_roll_link|torso_link
0.3,1,4,0.1732,0.0087,0.2036,9e-05,0.1731,0.0088,0.2034,0.0003,0.00204,1,6e-05,0,0,logo_link|right_hand_base_link;right_hand_base_link|torso_link;right_wrist_roll_link|torso_link
0.3,1,5,0.1732,-0.0087,0.2036,4e-05,0.1734,-0.0089,0.2035,0.0003,0.00123,1,0.00011,0,0,right_hand_base_link|torso_link;right_wrist_roll_link|torso_link
0.3,1,6,0.1715,-0.0256,0.2035,6e-05,0.173,-0.0273,0.2024,0.0025,0.01006,1,0.00091,0,0,right_hand_base_link|torso_link
