depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3,0,4,288.0,18.0,0.162,0.0074,0.2109,1,1,1,4e-05,0.4463,0.6628,0.587936,-0.207867,0.475543,-0.600864,0.047641,-0.662823,0.540873
0.3,0,5,352.0,18.0,0.162,-0.0074,0.2109,1,1,1,5e-05,0.4281,0.7035,0.651883,-0.216415,0.436516,-0.619094,0.048673,-0.703465,0.517049
0.3,0,6,416.0,18.0,0.1609,-0.0218,0.2107,1,1,1,7e-05,0.4119,0.7462,0.718851,-0.223211,0.398685,-0.63532,0.048453,-0.746156,0.491224
0.3,0,7,480.0,18.0,0.1588,-0.0355,0.2105,1,1,1,9e-05,0.3986,0.7895,0.786311,-0.227867,0.363359,-0.648642,0.047041,-0.789527,0.464362
0.3,0,8,544.0,18.0,0.1561,-0.0479,0.2101,1,1,1,5e-05,0.3886,0.8522,0.852249,-0.23049,0.331314,-0.658606,0.044707,-0.832607,0.437487
0.3,0,9,608.0,18.0,0.1529,-0.059,0.2097,1,1,1,6e-05,0.382,0.9141,0.914122,-0.230843,0.303153,-0.665208,0.041457,-0.873727,0.411336
0.3,1,0,32.0,54.0,0.1602,0.0673,0.2031,1,1,1,4e-05,0.5495,0.632,0.367115,-0.14331,0.63204,-0.497739,0.031487,-0.493254,0.59743
0.3,1,1,96.0,54.0,0.1646,0.0552,0.2033,1,1,1,5e-05,0.5327,0.5985,0.406377,-0.152315,0.598538,-0.514499,0.036359,-0.517095,0.584167
0.3,1,2,160.0,54.0,0.1686,0.0412,0.2034,1,1,1,6e-05,0.5134,0.5677,0.453498,-0.162034,0.561119,-0.533824,0.040689,-0.545839,0.567714
0.3,1,3,224.0,54.0,0.1715,0.0256,0.2035,1,1,1,7e-05,0.4918,0.5799,0.509097,-0.172087,0.52037,-0.555356,0.044025,-0.579871,0.547605
0.3,1,4,288.0,54.0,0.1732,0.0087,0.2036,1,1,1,9e-05,0.469,0.619,0.57289,-0.181855,0.477539,-0.578168,0.045927,-0.619036,0.523724
0.3,1,5,352.0,54.0,0.1732,-0.0087,0.2036,1,1,1,4e-05,0.4463,0.6628,0.643663,-0.190811,0.434324,-0.600859,0.046216,-0.662751,0.496576
0.3,1,6,416.0,54.0,0.1715,-0.0256,0.2035,1,1,1,6e-05,0.4256,0.7181,0.718069,-0.197789,0.392917,-0.621564,0.044701,-0.709038,0.467106
0.3,1,7,480.0,54.0,0.1686,-0.0412,0.2034,1,1,1,8e-05,0.4083,0.793,0.79298,-0.202519,0.354892,-0.638933,0.041699,-0.756297,0.436743
0.3,1,8,544.0,54.0,0.1646,-0.0552,0.2033,1,1,1,4e-05,0.395,0.8656,0.86559,-0.205073,0.321152,-0.652205,0.037667,-0.803109,0.406857
0.3,1,9,608.0,54.0,0.1602,-0.0673,0.2031,1,1,1,5e-05,0.3859,0.933,0.933009,-0.205339,0.292146,-0.661277,0.032843,-0.847665,0.37838
0.3,2,0,32.0,90.0,0.1689,0.0771,0.1944,1,1,1,3e-05,0.5885,0.6476,0.338725,-0.114327,0.64759,-0.458685,0.028468,-0.442024,0.584449
0.3,2,1,96.0,90.0,0.1749,0.0641,0.1941,1,1,1,4e-05,0.572,0.6116,0.377597,-0.122137,0.611601,-0.475193,0.034133,-0.463361,0.569963
0.3,2,2,160.0,90.0,0.1804,0.0484,0.1937,1,1,1,4e-05,0.5517,0.5707,0.425558,-0.130955,0.5707,-0.495503,0.039192,-0.490431,0.551798
0.3,2,3,224.0,90.0,0.1848,0.0303,0.1934,1,1,1,5e-05,0.5276,0.5293,0.483788,-0.140492,0.525565,-0.519632,0.042938,-0.524075,0.529273
0.3,2,4,288.0,90.0,0.1872,0.0103,0.1933,1,1,1,6e-05,0.5005,0.5645,0.552358,-0.150138,0.477849,-0.546733,0.044636,-0.56445,0.502147
0.3,2,5,352.0,90.0,0.1872,-0.0103,0.1933,1,1,1,9e-05,0.4723,0.6296,0.629556,-0.159017,0.430045,-0.574921,0.043821,-0.610637,0.471004
0.3,2,6,416.0,90.0,0.1848,-0.0303,0.1934,1,1,1,4e-05,0.4454,0.7122,0.712226,-0.166468,0.384738,-0.601754,0.040634,-0.660979,0.437389
0.3,2,7,480.0,90.0,0.1804,-0.0484,0.1937,1,1,1,6e-05,0.4224,0.7953,0.795301,-0.171511,0.344134,-0.624786,0.035476,-0.712595,0.403164
0.3,2,8,544.0,90.0,0.1749,-0.0641,0.1941,1,1,1,8e-05,0.4044,0.875,0.874964,-0.174186,0.309147,-0.642765,0.029157,-0.763462,0.370145
0.3,2,9,608.0,90.0,0.1689,-0.0771,0.1944,1,1,1,4e-05,0.3917,0.9488,0.948773,-0.17489,0.279735,-0.655462,0.022409,-0.812262,0.339537
0.3,3,0,32.0,126.0,0.1787,0.0888,0.1831,1,1,1,9e-05,0.6368,0.6635,0.307497,-0.080556,0.663493,-0.41037,0.024404,-0.383256,0.567242
0.3,3,1,96.0,126.0,0.1869,0.0748,0.1817,1,1,1,0.0001,0.622,0.6245,0.34483,-0.086498,0.624522,-0.425204,0.031148,-0.400511,0.551145
0.3,3,2,160.0,126.0,0.1947,0.0574,0.1804,1,1,1,3e-05,0.6018,0.5793,0.392555,-0.094069,0.579305,-0.445439,0.03743,-0.424467,0.531002
0.3,3,3,224.0,126.0,0.201,0.0363,0.1793,1,1,1,4e-05,0.5757,0.5288,0.452115,-0.102679,0.528798,-0.471524,0.042064,-0.456263,0.505742
0.3,3,4,288.0,126.0,0.2046,0.0125,0.1787,1,1,1,4e-05,0.544,0.5245,0.524462,-0.11206,0.475211,-0.503198,0.0439,-0.496854,0.475019
0.3,3,5,352.0,126.0,0.2046,-0.0125,0.1787,1,1,1,6e-05,0.509,0.608,0.607965,-0.121224,0.422053,-0.538241,0.042091,-0.545424,0.439535
0.3,3,6,416.0,126.0,0.201,-0.0363,0.1793,1,1,1,8e-05,0.4742,0.6983,0.698333,-0.12905,0.372925,-0.572989,0.036724,-0.599506,0.401326
0.3,3,7,480.0,126.0,0.1947,-0.0574,0.1804,1,1,1,4e-05,0.4433,0.7903,0.790258,-0.134964,0.330143,-0.603886,0.028868,-0.656159,0.363143
