depth,row,col,tx,ty,tz,state,final_ok
0.3,7,1,0.2391,0.1309,0.0886,hits pocket,0
0.3,7,2,0.2586,0.1049,0.075,hits pocket,0
0.3,7,3,0.2756,0.069,0.063,hits pocket,0
0.3,7,4,0.2858,0.0242,0.0559,hits pocket,0
0.3,7,5,0.2858,-0.0242,0.0559,hits pocket,0
0.3,7,6,0.2756,-0.069,0.063,hits pocket,0
0.3,7,7,0.2586,-0.1049,0.075,reachable,1
0.3,7,8,0.2391,-0.1309,0.0886,reachable,1
0.3,7,9,0.2202,-0.1483,0.1019,reachable,1
0.3,8,0,0.2271,0.1627,0.0731,hits pocket,0
0.3,8,1,0.2475,0.1441,0.0555,hits pocket,0
0.3,8,2,0.2685,0.1158,0.0374,hits pocket,0
0.3,8,3,0.2866,0.0762,0.0218,hits pocket,0
0.3,8,4,0.2974,0.0267,0.0125,hits pocket,0
0.3,8,5,0.2974,-0.0267,0.0125,hits pocket,0
0.3,8,6,0.2866,-0.0762,0.0218,model / self-contact,0
0.3,8,7,0.2685,-0.1158,0.0374,reachable,1
0.3,8,8,0.2475,-0.1441,0.0555,reachable,1
0.3,8,9,0.2271,-0.1627,0.0731,reachable,1
0.3,9,0,0.2314,0.1755,0.0424,hits pocket,0
0.3,9,1,0.2523,0.1553,0.0207,hits pocket,0
0.3,9,2,0.2735,0.1246,-0.0014,hits pocket,0
0.3,9,3,0.2916,0.0817,-0.0202,hits pocket,0
0.3,9,4,0.3023,0.0286,-0.0314,hits pocket,0
0.3,9,5,0.3023,-0.0286,-0.0314,model / self-contact,0
0.3,9,6,0.2916,-0.0817,-0.0202,model / self-contact,0
0.3,9,7,0.2735,-0.1246,-0.0014,reachable,1
0.3,9,8,0.2523,-0.1553,0.0207,reachable,1
0.3,9,9,0.2314,-0.1755,0.0424,reachable,1
0.35,0,0,0.2111,0.1062,0.2174,hits pocket,0
0.35,0,1,0.2185,0.0873,0.2184,hits pocket,0
0.35,0,2,0.2251,0.0653,0.2193,hits pocket,0
0.35,0,3,0.2302,0.0406,0.2199,hits pocket,0
0.35,0,4,0.233,0.0138,0.2203,hits pocket,0
0.35,0,5,0.233,-0.0138,0.2203,hits pocket,0
0.35,0,6,0.2302,-0.0406,0.2199,reachable,1
0.35,0,7,0.2251,-0.0653,0.2193,reachable,1
0.35,0,8,0.2185,-0.0873,0.2184,reachable,1
0.35,0,9,0.2111,-0.1062,0.2174,reachable,1
0.35,1,0,0.2198,0.1172,0.2054,hits pocket,0
0.35,1,1,0.2291,0.0972,0.2057,hits pocket,0
0.35,1,2,0.2376,0.0734,0.2061,hits pocket,0
0.35,1,3,0.2442,0.0459,0.2063,hits pocket,0
0.35,1,4,0.2479,0.0156,0.2065,hits pocket,0
0.35,1,5,0.2479,-0.0156,0.2065,hits pocket,0
0.35,1,6,0.2442,-0.0459,0.2063,reachable,1
0.35,1,7,0.2376,-0.0734,0.2061,reachable,1
0.35,1,8,0.2291,-0.0972,0.2057,reachable,1
0.35,1,9,0.2198,-0.1172,0.2054,reachable,1
0.35,2,0,0.2291,0.1294,0.1907,hits pocket,0
0.35,2,1,0.2406,0.1084,0.1899,hits pocket,0
0.35,2,2,0.2514,0.0827,0.1893,hits pocket,0
0.35,2,3,0.2601,0.0521,0.1887,hits pocket,0
0.35,2,4,0.265,0.0178,0.1884,hits pocket,0
0.35,2,5,0.265,-0.0178,0.1884,hits pocket,0
0.35,2,6,0.2601,-0.0521,0.1887,reachable,1
0.35,2,7,0.2514,-0.0827,0.1893,reachable,1
0.35,2,8,0.2406,-0.1084,0.1899,reachable,1
0.35,2,9,0.2291,-0.1294,0.1907,reachable,1
0.35,3,0,0.2386,0.1428,0.1728,hits pocket,0
0.35,3,1,0.2527,0.121,0.1704,hits pocket,0
0.35,3,2,0.2663,0.0932,0.1681,hits pocket,0
0.35,3,3,0.2775,0.0593,0.1662,hits pocket,0
0.35,3,4,0.2839,0.0204,0.1651,hits pocket,0
0.35,3,5,0.2839,-0.0204,0.1651,hits pocket,0
0.35,3,6,0.2775,-0.0593,0.1662,reachable,1
0.35,3,7,0.2663,-0.0932,0.1681,reachable,1
0.35,3,8,0.2527,-0.121,0.1704,reachable,1
0.35,3,9,0.2386,-0.1428,0.1728,reachable,1
0.35,4,0,0.248,0.1571,0.1516,hits pocket,0
0.35,4,1,0.2648,0.1344,0.1468,hits pocket,0
0.35,4,2,0.2814,0.1046,0.142,hits pocket,0
0.35,4,3,0.2953,0.0671,0.138,hits pocket,0
0.35,4,4,0.3035,0.0232,0.1356,hits pocket,0
0.35,4,5,0.3035,-0.0232,0.1356,hits pocket,0
0.35,4,6,0.2953,-0.0671,0.138,model / self-contact,0
0.35,4,7,0.2814,-0.1046,0.142,reachable,1
0.35,4,8,0.2648,-0.1344,0.1468,reachable,1
0.35,4,9,0.248,-0.1571,0.1516,reachable,1
0.35,5,0,0.2566,0.1718,0.1268,hits pocket,0
0.35,5,1,0.276,0.1483,0.1188,hits pocket,0
0.35,5,2,0.2955,0.1165,0.1107,hits pocket,0
0.35,5,3,0.3122,0.0753,0.1038,hits pocket,0
0.35,5,4,0.322,0.0262,0.0997,hits pocket,0
0.35,5,5,0.322,-0.0262,0.0997,hits pocket,0
0.35,5,6,0.3122,-0.0753,0.1038,model / self-contact,0
0.35,5,7,0.2955,-0.1165,0.1107,reachable,1
0.35,5,8,0.276,-0.1483,0.1188,reachable,1
0.35,5,9,0.2566,-0.1718,0.1268,reachable,1
0.35,6,0,0.2637,0.1862,0.0987,hits pocket,0
0.35,6,1,0.2854,0.1619,0.0868,hits pocket,0
0.35,6,2,0.3073,0.128,0.0747,hits pocket,0
0.35,6,3,0.3262,0.0832,0.0642,hits pocket,0
0.35,6,4,0.3375,0.029,0.058,hits pocket,0
0.35,6,5,0.3375,-0.029,0.058,hits pocket,0
0.35,6,6,0.3262,-0.0832,0.0642,model / self-contact,0
0.35,6,7,0.3073,-0.128,0.0747,model / self-contact,0
0.35,6,8,0.2854,-0.1619,0.0868,reachable,1
0.35,6,9,0.2637,-0.1862,0.0987,reachable,1
0.35,7,0,0.2688,0.1997,0.0678,hits pocket,0
0.35,7,1,0.292,0.1744,0.0516,hits pocket,0
0.35,7,2,0.3156,0.1384,0.0351,hits pocket,0
0.35,7,3,0.3359,0.0902,0.0209,hits pocket,0
0.35,7,4,0.3479,0.0315,0.0124,hits pocket,0
0.35,7,5,0.3479,-0.0315,0.0124,model / self-contact,0
0.35,7,6,0.3359,-0.0902,0.0209,model / self-contact,0
0.35,7,7,0.3156,-0.1384,0.0351,model / self-contact,0
0.35,7,8,0.292,-0.1744,0.0516,reachable,1
0.35,7,9,0.2688,-0.1997,0.0678,reachable,1
0.35,8,0,0.2713,0.2116,0.0349,outside workspace box,0
0.35,8,1,0.2952,0.1851,0.0144,hits pocket,0
0.35,8,2,0.3193,0.1471,-0.0065,hits pocket,0
0.35,8,3,0.34,0.0958,-0.0243,hits pocket,0
0.35,8,4,0.3522,0.0335,-0.0348,hits pocket,0
0.35,8,5,0.3522,-0.0335,-0.0348,model / self-contact,0
0.35,8,6,0.34,-0.0958,-0.0243,model / self-contact,0
0.35,8,7,0.3193,-0.1471,-0.0065,reachable,1
0.35,8,8,0.2952,-0.1851,0.0144,reachable,1
0.35,8,9,0.2713,-0.2116,0.0349,reachable,1
0.35,9,0,0.2712,0.2215,0.0011,outside workspace box,0
0.35,9,1,0.2948,0.1936,-0.0235,hits pocket,0
0.35,9,2,0.3185,0.1535,-0.0482,hits pocket,0
0.35,9,3,0.3385,0.0998,-0.069,hits pocket,0
0.35,9,4,0.3502,0.0348,-0.0812,hits pocket,0
0.35,9,5,0.3502,-0.0348,-0.0812,model / self-contact,0
0.35,9,6,0.3385,-0.0998,-0.069,model / self-contact,0
0.35,9,7,0.3185,-0.1535,-0.0482,model / self-contact,0
0.35,9,8,0.2948,-0.1936,-0.0235,reachable,1
0.35,9,9,0.2712,-0.2215,0.0011,reachable,1
0.4,0,0,0.2617,0.1472,0.2241,hits pocket,0
0.4,0,1,0.2732,0.1217,0.2256,hits pocket,0
0.4,0,2,0.2835,0.0916,0.227,hits pocket,0
0.4,0,3,0.2916,0.0571,0.2281,hits pocket,0
0.4,0,4,0.296,0.0194,0.2287,hits pocket,0
0.4,0,5,0.296,-0.0194,0.2287,hits pocket,0
0.4,0,6,0.2916,-0.0571,0.2281,reachable,1
0.4,0,7,0.2835,-0.0916,0.227,reachable,1
0.4,0,8,0.2732,-0.1217,0.2256,reachable,1
0.4,0,9,0.2617,-0.1472,0.2241,reachable,1
0.4,1,0,0.2709,0.16,0.2073,hits pocket,0
0.4,1,1,0.2846,0.1334,0.2079,hits pocket,0
0.4,1,2,0.2973,0.1012,0.2084,hits pocket,0
0.4,1,3,0.3074,0.0635,0.2087,hits pocket,0
0.4,1,4,0.3131,0.0217,0.209,hits pocket,0
0.4,1,5,0.3131,-0.0217,0.209,hits pocket,0
0.4,1,6,0.3074,-0.0635,0.2087,reachable,1
0.4,1,7,0.2973,-0.1012,0.2084,reachable,1
0.4,1,8,0.2846,-0.1334,0.2079,reachable,1
0.4,1,9,0.2709,-0.16,0.2073,reachable,1
0.4,2,0,0.2801,0.1737,0.1875,hits pocket,0
0.4,2,1,0.2964,0.1461,0.1865,hits pocket,0
0.4,2,2,0.3119,0.1118,0.1855,hits pocket,0
0.4,2,3,0.3244,0.0707,0.1847,hits pocket,0
0.4,2,4,0.3315,0.0243,0.1843,hits pocket,0
0.4,2,5,0.3315,-0.0243,0.1843,hits pocket,0
0.4,2,6,0.3244,-0.0707,0.1847,model / self-contact,0
0.4,2,7,0.3119,-0.1118,0.1855,reachable,1
0.4,2,8,0.2964,-0.1461,0.1865,reachable,1
0.4,2,9,0.2801,-0.1737,0.1875,reachable,1
0.4,3,0,0.289,0.1882,0.1642,hits pocket,0
0.4,3,1,0.3081,0.1597,0.161,hits pocket,0
0.4,3,2,0.3266,0.1233,0.1578,hits pocket,0
0.4,3,3,0.3418,0.0786,0.1552,hits pocket,0
0.4,3,4,0.3506,0.0271,0.1537,hits pocket,0
0.4,3,5,0.3506,-0.0271,0.1537,hits pocket,0
0.4,3,6,0.3418,-0.0786,0.1552,model / self-contact,0
0.4,3,7,0.3266,-0.1233,0.1578,reachable,1
0.4,3,8,0.3081,-0.1597,0.161,reachable,1
0.4,3,9,0.289,-0.1882,0.1642,reachable,1
0.4,4,0,0.297,0.2029,0.1375,outside workspace box,0
0.4,4,1,0.3188,0.1737,0.1312,hits pocket,0
0.4,4,2,0.3403,0.1352,0.125,hits pocket,0
0.4,4,3,0.3584,0.0868,0.1198,hits pocket,0
0.4,4,4,0.369,0.03,0.1167,hits pocket,0
0.4,4,5,0.369,-0.03,0.1167,hits pocket,0
0.4,4,6,0.3584,-0.0868,0.1198,model / self-contact,0
0.4,4,7,0.3403,-0.1352,0.125,reachable,1
0.4,4,8,0.3188,-0.1737,0.1312,reachable,1
0.4,4,9,0.297,-0.2029,0.1375,reachable,1
0.4,5,0,0.3036,0.2175,0.1073,outside workspace box,0
0.4,5,1,0.3278,0.1875,0.0973,hits pocket,0
0.4,5,2,0.352,0.147,0.0873,hits pocket,0
0.4,5,3,0.3727,0.0949,0.0787,hits pocket,0
0.4,5,4,0.3848,0.0329,0.0737,hits pocket,0
0.4,5,5,0.3848,-0.0329,0.0737,model / self-contact,0
0.4,5,6,0.3727,-0.0949,0.0787,model / self-contact,0
0.4,5,7,0.352,-0.147,0.0873,reachable,1
0.4,5,8,0.3278,-0.1875,0.0973,reachable,1
0.4,5,9,0.3036,-0.2175,0.1073,reachable,1
0.4,6,0,0.3082,0.2312,0.0742,outside workspace box,0
0.4,6,1,0.3342,0.2004,0.0598,outside workspace box,0
0.4,6,2,0.3604,0.1579,0.0454,hits pocket,0
0.4,6,3,0.3829,0.1023,0.033,hits pocket,0
0.4,6,4,0.3962,0.0356,0.0257,hits pocket,0
0.4,6,5,0.3962,-0.0356,0.0257,model / self-contact,0
0.4,6,6,0.3829,-0.1023,0.033,model / self-contact,0
0.4,6,7,0.3604,-0.1579,0.0454,reachable,1
0.4,6,8,0.3342,-0.2004,0.0598,reachable,1
0.4,6,9,0.3082,-0.2312,0.0742,reachable,1
0.4,7,0,0.3103,0.2436,0.0388,outside workspace box,0
