depth,row,col,u,v,tx,ty,tz,reach_ok,in_ws_box,converged,err_m,joint_margin_rad,max_joint_rad,q0,q1,q2,q3,q4,q5,q6
0.3,3,8,544.0,126.0,0.3799,-0.21,0.1487,1,1,1,4e-05,0.8917,0.1555,-0.035864,-0.053272,-0.119552,-0.155484,0.001698,-0.10561,-0.061992
0.3,3,9,608.0,126.0,0.3799,-0.27,0.1487,1,1,1,3e-05,0.9408,0.2437,-0.0832,-0.119273,-0.243698,-0.106358,0.012068,-0.059962,-0.107557
0.3,4,0,32.0,162.0,0.3687,0.27,0.1168,0,0,0,,,,,,,,,,
0.3,4,1,96.0,162.0,0.3687,0.21,0.1168,0,0,0,,,,,,,,,,
0.3,4,2,160.0,162.0,0.3687,0.15,0.1168,1,1,1,7e-05,1.277,0.4737,-0.398027,0.311242,0.473674,0.251609,-0.108991,0.178012,0.080856
0.3,4,3,224.0,162.0,0.3687,0.09,0.1168,1,1,1,6e-05,1.1335,0.4099,-0.221448,0.208199,0.409863,0.086295,-0.055439,0.068798,0.135865
0.3,4,4,288.0,162.0,0.3687,0.03,0.1168,1,1,1,6e-05,1.0198,0.3266,-0.092178,0.135223,0.326572,-0.027392,-0.020753,-0.016885,0.151233
0.3,4,5,352.0,162.0,0.3687,-0.03,0.1168,1,1,1,9e-05,0.9408,0.2324,0.000471,0.083216,0.232448,-0.106407,-0.003736,-0.079452,0.1286
0.3,4,6,416.0,162.0,0.3687,-0.09,0.1168,1,1,1,9e-05,0.8932,0.154,0.055494,0.043161,0.12955,-0.154043,7.3e-05,-0.116955,0.076406
0.3,4,7,480.0,162.0,0.3687,-0.15,0.1168,1,1,1,8e-05,0.8773,0.1699,0.071493,0.004639,0.01817,-0.169905,-0.002676,-0.127357,0.008362
0.3,4,8,544.0,162.0,0.3687,-0.21,0.1168,1,1,1,6e-05,0.8942,0.153,0.050979,-0.042751,-0.100819,-0.153007,-0.004383,-0.11,-0.058723
0.3,4,9,608.0,162.0,0.3687,-0.27,0.1168,1,1,1,3e-05,0.9444,0.2247,0.000302,-0.106651,-0.224735,-0.102762,0.002126,-0.065992,-0.108321
0.3,5,0,32.0,198.0,0.3576,0.27,0.085,0,0,0,,,,,,,,,,
0.3,5,1,96.0,198.0,0.3576,0.21,0.085,0,0,0,,,,,,,,,,
0.3,5,2,160.0,198.0,0.3576,0.15,0.085,1,1,1,6e-05,1.2759,0.4903,-0.322184,0.312323,0.490314,0.269877,-0.102199,0.176687,0.093801
0.3,5,3,224.0,198.0,0.3576,0.09,0.085,1,1,1,3e-05,1.1496,0.4235,-0.145356,0.207656,0.423533,0.102352,-0.047271,0.070715,0.151537
0.3,5,4,288.0,198.0,0.3576,0.03,0.085,1,1,1,0.0001,1.0337,0.3389,-0.014961,0.135246,0.338942,-0.013528,-0.012592,-0.012116,0.167183
0.3,5,5,352.0,198.0,0.3576,-0.03,0.085,1,1,1,4e-05,0.9523,0.2449,0.079069,0.085022,0.244939,-0.094886,0.002926,-0.072919,0.142886
0.3,5,6,416.0,198.0,0.3576,-0.09,0.085,1,1,1,3e-05,0.9032,0.144,0.134202,0.047585,0.143072,-0.143991,0.003811,-0.109481,0.087419
0.3,5,7,480.0,198.0,0.3576,-0.15,0.085,1,1,1,0.0001,0.8871,0.1601,0.148575,0.01173,0.033042,-0.160088,-0.002782,-0.119804,0.015305
0.3,5,8,544.0,198.0,0.3576,-0.21,0.085,1,1,1,8e-05,0.9047,0.1425,0.125526,-0.033587,-0.084676,-0.142517,-0.008511,-0.103595,-0.055549
0.3,5,9,608.0,198.0,0.3576,-0.27,0.085,1,1,1,5e-05,0.9565,0.2078,0.071657,-0.096322,-0.207768,-0.090652,-0.005445,-0.061679,-0.107703
0.3,6,0,32.0,234.0,0.3464,0.27,0.0531,0,0,0,,,,,,,,,,
0.3,6,1,96.0,234.0,0.3464,0.21,0.0531,0,0,0,,,,,,,,,,
0.3,6,2,160.0,234.0,0.3464,0.15,0.0531,1,1,1,6e-05,1.2708,0.501,-0.26046,0.31739,0.500969,0.301022,-0.09724,0.183719,0.098834
0.3,6,3,224.0,234.0,0.3464,0.09,0.0531,1,1,1,4e-05,1.1759,0.4323,-0.081892,0.210638,0.43234,0.128747,-0.040544,0.081488,0.159708
0.3,6,4,288.0,234.0,0.3464,0.03,0.0531,1,1,1,4e-05,1.0563,0.3469,0.050049,0.137899,0.346942,0.009149,-0.005193,0.001696,0.17676
0.3,6,5,352.0,234.0,0.3464,-0.03,0.0531,1,1,1,4e-05,0.9727,0.2532,0.144259,0.088785,0.253154,-0.074506,0.009505,-0.056434,0.151965
0.3,6,6,416.0,234.0,0.3464,-0.09,0.0531,1,1,1,4e-05,0.9219,0.1991,0.199056,0.052853,0.152581,-0.125304,0.008188,-0.091708,0.094817
